name,ttm,03/31/2024,03/31/2023,03/31/2022,03/31/2021,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,03/31/2011,03/31/2010,03/31/2009,03/31/2008,03/31/2007,03/31/2006,03/31/2005,03/31/2004,03/31/2003,03/31/2002,03/31/2001,03/31/2000,03/31/1999
OtherIncomeExpense,"97,000,000","66,000,000","74,000,000","87,000,000","81,000,000","131,000,000","7,000,000","77,000,000","74,000,000","81,000,000","42,000,000","84,000,000","104,000,000","397,000,000","17,000,000","40,000,000","-85,000,000","6,000,000","41,000,000","31,000,000","35,000,000","27,950,174","18,048,110","3,441,640","9,505,343","9,038,792","-500,000"
	GainOnSaleOfSecurity,,"57,000,000","69,000,000","60,000,000","50,000,000","105,000,000","69,000,000","76,000,000","57,000,000","35,000,000","106,000,000","75,000,000","90,000,000",,"14,000,000","34,000,000","1,000,000",,,,,,,,,,
	EarningsFromEquityInterest,,,,,,"0","0","-11,000,000","-5,000,000","0","0","0",,,,,,,,,,,,,,,
	SpecialIncomeCharges,,"-15,000,000","-35,000,000","-23,000,000","-25,000,000","-24,000,000","-104,000,000","-18,000,000","0","7,000,000","-71,000,000",,"-2,000,000","23,000,000","9,000,000","6,000,000","-86,000,000","6,000,000","41,000,000","31,000,000","35,000,000","27,950,174","18,048,110","3,441,640","9,505,343","9,038,792","-500,000"
		ImpairmentOfCapitalAssets,,,,,"0","0","39,000,000","18,000,000","0",,,,,,,,,,,,,,,,,,
		WriteOff,,"15,000,000","35,000,000","23,000,000","25,000,000","24,000,000","35,000,000","11,000,000","21,000,000","-7,000,000","29,000,000",,,,,,,,,,,,,,,,
		OtherSpecialCharges,,,,,,,,,"34,000,000",,"42,000,000",,"2,000,000",,,,,,,,,,,,,,
		GainOnSaleOfBusiness,,,,,"0","0","-65,000,000","0","0",,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"55,000,000","24,000,000","40,000,000","27,000,000","31,000,000","26,000,000","42,000,000","30,000,000","22,000,000","39,000,000","7,000,000","9,000,000","14,000,000","397,000,000","3,000,000",,,,,,,,,,,,
PretaxIncome,"4,410,000,000","4,346,000,000","4,125,000,000","4,036,000,000","3,596,000,000","3,095,000,000","3,003,000,000","3,143,000,000","2,974,000,000","2,851,000,000","2,818,000,000","2,419,000,000","2,342,000,000","2,410,000,000","2,046,000,000","1,669,000,000","1,475,000,000","1,326,000,000","936,000,000","630,000,000","491,000,000","321,066,227","236,692,306","192,413,201","147,019,929","69,537,845","22,300,000"
TaxProvision,"1,201,000,000","1,177,000,000","1,142,000,000","1,068,000,000","973,000,000","757,000,000","803,000,000","657,000,000","834,000,000","799,000,000","805,000,000","668,000,000","617,000,000","694,000,000","547,000,000","356,000,000","194,000,000","171,000,000","84,000,000","70,000,000","72,000,000","50,775,927","41,822,265","27,946,892","15,071,825","8,193,317","4,900,000"
NetIncomeCommonStockholders,"3,206,000,000","3,167,000,000","2,981,000,000","2,963,000,000","2,613,000,000","2,331,000,000","2,199,000,000","2,486,000,000","2,140,000,000","2,052,000,000","2,013,000,000","1,751,000,000","1,725,000,000","1,716,000,000","1,499,000,000","1,313,000,000","1,281,000,000","1,155,000,000","850,000,000","555,000,000","419,000,000","270,290,300","194,870,041","164,466,309","131,948,104","61,344,528","17,400,000"
	NetIncome,"3,206,000,000","3,167,000,000","2,981,000,000","2,963,000,000","2,613,000,000","2,331,000,000","2,199,000,000","2,486,000,000","2,140,000,000","2,052,000,000","2,013,000,000","1,751,000,000","1,725,000,000","1,716,000,000","1,499,000,000","1,313,000,000","1,281,000,000","1,155,000,000","850,000,000","555,000,000","419,000,000","270,290,300","194,870,041","164,466,309","131,948,104","61,344,528","17,400,000"
		NetIncomeIncludingNoncontrollingInterests,"3,208,000,000","3,169,000,000","2,983,000,000","2,968,000,000","2,623,000,000","2,338,000,000","2,200,000,000","2,486,000,000","2,140,000,000","2,052,000,000","2,013,000,000","1,751,000,000","1,725,000,000","1,716,000,000","1,499,000,000","1,313,000,000","1,281,000,000","1,155,000,000","852,000,000","560,000,000","419,000,000","270,290,300","194,870,041","164,466,309","131,948,104","61,344,528","17,400,000"
			NetIncomeContinuousOperations,"3,208,000,000","3,169,000,000","2,983,000,000","2,968,000,000","2,623,000,000","2,338,000,000","2,200,000,000","2,486,000,000","2,140,000,000","2,052,000,000","2,013,000,000","1,751,000,000","1,725,000,000","1,716,000,000","1,499,000,000","1,313,000,000","1,281,000,000","1,155,000,000","850,000,000","555,000,000","419,000,000","270,290,300","194,870,041","164,466,309","131,948,104","61,344,528","17,400,000"
		MinorityInterests,,"-2,000,000","-2,000,000","-5,000,000","-10,000,000","-7,000,000","-1,000,000","0","0","0","0","0","0","0","0","0","0",,"-2,000,000","-5,000,000",,,,,,,
DilutedNIAvailtoComStockholders,"3,206,000,000","3,167,000,000","2,981,000,000","2,963,000,000","2,613,000,000","2,331,000,000","2,199,000,000","2,486,000,000","2,140,000,000","2,052,000,000","2,013,000,000","1,751,000,000","1,725,000,000","1,716,000,000","1,499,000,000","1,313,000,000","1,281,000,000","1,155,000,000","850,000,000","555,000,000","419,000,000","270,290,300","194,870,041","164,466,309","131,948,104","61,344,528","17,400,000"
BasicEPS,"0.78","0.77","0.71","0.7","0.62","0.55","0.51","0.55","0.47","0.45","0.44","0.383","0.378","0.375","0.328","0.288","0.281","0.254","0.191","0.128","0.098","0.064","0.046","0.039","0.031","0.015","0.004"
DilutedEPS,"0.77","0.76","0.71","0.7","0.61","0.55","0.51","0.55","0.47","0.45","0.44","0.383","0.378","0.375","0.328","0.288","0.281","0.253","0.188","0.124","0.095","0.063","0.046","0.039","0.031","0.015","0.004"
