Stock,P/E,EV/EBITDA,P/B,P/CF,P/S,ROE,ROA,ROD,ROI,Revenue,Profit,Equity,Assets,D/A,Ebitda Growth,CF Growth,,Stock,O-Score
TAL,78.9745,180.1659231,8.088142857,9.463113193,7.207642857,-0.02246758858,-0.01252447551,-0.06204239135,0.3013331379,0.1137240777,0.1466518339,1.507225826,0.8807574045,0.2018696448,-0.8277476702,1.061851659,,TAL,0.7245099466
TCS,21.964,12.9882,2.171363636,0.8525721945,0.5847272727,-0.02510152175,-0.00746825581,-0.02459867617,0.1725603613,-0.01591959717,-0.01178143179,-0.3864582906,0.07035528573,0.3036039728,-1,-0.2581162493,,TCS,1.911107108
TJX,27.33473333,14.07726667,11.0624,42.10891392,1.586933333,0.5276805312,0.1562376131,1.236226217,-2.362468854,0.6253743458,0.7486165138,0.6432235885,0.9820405243,0.1263827049,0.3491255405,0.8877575936,,TJX,1.797994594
TM,18.26066667,9.408,1.1592,1.106880035,0.7593333333,0.1128250497,0.04114085716,0.1948457878,-0.6059344784,0.6652412864,0.9728456543,1.003400315,0.923696933,0.2111457354,-0.3078231293,0.1072247777,,TM,2.743443754
TSLA,450.7355,120.9050714,21.13414286,131.7094276,10.28607143,0.2261748803,0.08235542278,0.4766068147,-0.6806256262,3.223887965,2.466956511,6.802316209,3.836060916,0.172795311,-0.5245360735,2.543172962,,TSLA,3.776158995
TXRH,29.7682,13.8674,4.228133333,39.42071075,1.525866667,0.1825252345,0.09829273991,1.864340115,-0.837295415,1.244944948,1.196564925,0.6142932798,1.127026088,0.05272253658,0.4304051228,1.358686901,,TXRH,1.894622304
UA,36.67783333,31.455375,3.578875,12.14388091,1.36425,0.07311914626,0.03522067458,0.2329748644,-0.7554513697,0.4743716096,0.4505747718,0.4615869536,0.5565512169,0.1511780023,0.6583811193,1.096020621,,UA,0.947360583
ULTA,34.1612,15.4526,8.626066667,38.10589676,2.5146,0.3886278784,0.1865235414,7.422994445,-1.916842387,1.189421401,1.313587222,0.8434479318,1.215299556,0.02512780291,-0.2814154252,1.066436621,,ULTA,3.701431234
URBN,18.2118,9.830866667,2.787133333,14.7618573,1.3232,0.1532949449,0.0933836719,2.846338216,-1.260706906,0.5235376802,0.5207677592,0.5149780262,0.7960319628,0.03280835404,-0.2262126771,0.3099367117,,URBN,2.033318897
VFC,27.72093333,21.00086667,5.2102,6.033511809,2.011066667,0.1698963701,0.0704004975,0.2971670162,-2.875137367,0.03648401755,0.05953855821,-0.6108509455,0.1291991089,0.2369054897,5.541253853,-0.1635386577,,VFC,0.7753478256
VRA,33.3795,10.45785714,4.037785714,5.710478316,1.294714286,0.1113878312,0.07354889461,0.6831294179,-1.609922906,-0.06123560696,-0.1012750025,0.1452083145,0.1077688053,0.1076646572,-0.4374564579,-0.6120971467,,VRA,1.037221616
WEN,122.0704,13.67233333,5.280466667,31.72953355,1.9376,0.1035963664,0.02870009624,0.06707986133,-0.9536233079,0.101748431,0.2095774738,-0.7552099253,0.1346117848,0.4278496656,-0.05839042348,0.3105884165,,WEN,0.31183068
WH,30.2194,24.40483333,5.737,28.06939788,4.026,0.1581361828,0.04754463821,0.1145340842,-3.995098039,-0.07279580223,-1,-0.3486341524,0.05872867054,0.4151134446,-0.3465228882,0.02677100494,,WH,0.3987955882
WSM,141.7040667,8.287466667,4.6364,34.41742026,1.136333333,0.3452334623,0.1563066388,8.899005478,-2.454660757,0.3896377454,0.6312075293,0.6184259384,0.8160049133,0.01756450641,0.4023585816,1.043726049,,WSM,3.804798635
YUM,24.56133333,15.22326667,17.005,33.42206481,3.826266667,-0.4718983237,0.1926652842,0.2069023199,-2.550257732,-0.1419082126,0.169907129,1.810644538,-0.09007272409,0.9311895791,0.2394186092,0.05107041527,,YUM,0.9399574514
Sector Medians,27.33473333,13.8006,5.0524,16.46531743,1.553733333,0.1532949449,0.05458951818,0.279107549,-1.361320879,0.3896377454,0.4697640583,0.2968315251,0.5669156347,0.2520084424,-0.1016945503,0.5647879286,,Median,1.297182575
Sector Averages,49.71064432,18.09386776,10.3118866,29.16891753,2.436831138,0.2161493713,0.06495327506,1.18507426,-1.405663671,0.5383489334,0.5753898568,0.766493001,0.6516036762,6.461392411,0.2587568234,0.5475316371,,Average,1.918767765
Base Metric Values,,,,,,,,,,,,,,,,,,,
