name,09/30/2023,09/30/2022,09/30/2021,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2003
		GainsLossesNotAffectingRetainedEarnings,"-1,317,000,000","-2,369,000,000","436,000,000","354,000,000","-650,000,000","547,000,000","878,000,000","-458,000,000","-74,000,000","-17,000,000","21,000,000","-171,000,000","-176,000,000","-151,000,000","-188,000,000","-70,000,000","0","-958,000",
			UnrealizedGainLoss,"-64,000,000","-106,000,000","-1,000,000","3,000,000","6,000,000","-17,000,000","73,000,000","36,000,000","5,000,000","31,000,000","59,000,000","3,000,000","0","3,000,000","10,000,000","1,000,000",,,
			MinimumPensionLiabilities,"-155,000,000","-169,000,000","-49,000,000","-196,000,000","-192,000,000","-61,000,000","-76,000,000","-225,000,000","-161,000,000","-84,000,000","-60,000,000","-186,000,000","-186,000,000","-115,000,000","-136,000,000","-66,000,000",,,
			ForeignCurrencyTranslationAdjustments,"-921,000,000","-2,512,000,000","743,000,000","838,000,000","-663,000,000","565,000,000","917,000,000","-219,000,000","-1,000,000","-2,000,000","-1,000,000","-1,000,000","-8,000,000","1,000,000","-4,000,000","-5,000,000",,,
			OtherEquityAdjustments,"-177,000,000","418,000,000","-257,000,000","-291,000,000","199,000,000","60,000,000","-36,000,000","-50,000,000","83,000,000","38,000,000","23,000,000","13,000,000","18,000,000","-40,000,000","-58,000,000",,"-328,000","-958,000",
		OtherEquityInterest,"-140,000,000","-35,000,000","-133,000,000","-39,000,000","-171,000,000","-7,000,000","-52,000,000","-34,000,000",,,,,,,,,,,
	MinorityInterest,,,,,,,,,,,,,"0","3,000,000","4,000,000","0","38,000,000","37,840,000",
TotalCapitalization,"59,196,000,000","55,781,000,000","57,567,000,000","57,281,000,000","51,413,000,000","50,636,000,000","49,378,000,000","48,794,000,000","29,842,000,000","27,413,000,000","26,870,000,000","27,630,000,000","26,437,000,000","25,043,000,000","23,233,000,000","22,332,000,000","-501,000,000","624,094,000","-440,000,000"
PreferredStockEquity,,"2,324,000,000","3,080,000,000","5,086,000,000","5,462,000,000","5,470,000,000","5,526,000,000","5,717,000,000",,,,,,,,,,,
CommonStockEquity,"38,733,000,000","35,581,000,000","37,589,000,000","31,124,000,000","29,222,000,000","28,536,000,000","27,234,000,000","27,195,000,000","29,842,000,000","27,413,000,000","26,870,000,000","27,630,000,000","26,437,000,000","25,011,000,000","23,189,000,000","22,277,000,000","-501,000,000","582,814,000","-440,000,000"
NetTangibleAssets,"-5,368,000,000","-7,271,000,000","-6,033,000,000","-7,508,000,000","-7,752,000,000","-8,746,000,000","-10,198,000,000","-9,388,000,000","6,656,000,000","4,249,000,000","3,838,000,000","4,529,000,000","3,333,000,000","2,086,000,000","2,098,000,000","1,181,000,000","-501,000,000","582,814,000","-440,000,000"
WorkingCapital,"10,434,000,000","9,352,000,000","11,868,000,000","13,135,000,000","7,555,000,000","6,911,000,000","9,029,000,000","6,267,000,000","4,666,000,000","3,556,000,000","3,487,000,000","3,832,000,000","5,739,000,000","5,236,000,000","4,799,000,000","4,009,000,000","-775,000,000","200,968,000","-121,000,000"
InvestedCapital,"59,196,000,000","58,031,000,000","58,566,000,000","55,194,000,000","45,951,000,000","45,166,000,000","45,601,000,000","43,077,000,000","29,842,000,000","27,413,000,000","26,870,000,000","27,630,000,000","26,437,000,000","25,055,000,000","23,245,000,000","22,383,000,000","-460,000,000","656,433,000","-266,000,000"
TangibleBookValue,"-5,368,000,000","-7,271,000,000","-6,033,000,000","-12,594,000,000","-13,214,000,000","-14,216,000,000","-15,724,000,000","-15,105,000,000","6,656,000,000","4,249,000,000","3,838,000,000","4,529,000,000","3,333,000,000","2,086,000,000","2,098,000,000","1,181,000,000","-501,000,000","582,814,000","-440,000,000"
TotalDebt,"20,463,000,000","22,450,000,000","20,977,000,000","24,070,000,000","16,729,000,000","16,630,000,000","18,367,000,000","15,882,000,000",,,,,,"44,000,000","56,000,000","106,000,000","41,000,000","73,619,000","174,000,000"
NetDebt,"4,177,000,000","6,761,000,000","4,490,000,000","7,781,000,000","8,891,000,000","8,468,000,000","8,493,000,000","10,263,000,000",,,,,,,,,,,"88,000,000"
ShareIssued,"2,068,027,500","2,112,583,000","2,143,027,500","2,120,445,500","2,188,027,500","2,209,445,500","2,296,027,500","2,365,027,500","2,423,445,500","2,461,445,500","2,533,445,500","2,657,445,500","2,661,445,500","2,753,445,500","2,797,445,500","3,379,423,816","3,377,322,044","4,335,771,972","4,335,771,972"
OrdinarySharesNumber,"2,068,027,500","2,112,583,000","2,143,027,500","2,120,445,500","2,188,027,500","2,209,445,500","2,296,027,500","2,365,027,500","2,423,445,500","2,461,445,500","2,533,445,500","2,657,445,500","2,661,445,500","2,753,445,500","2,797,445,500","3,377,322,044","3,377,322,044","4,335,771,972","4,335,771,972"
TreasurySharesNumber,,,,,,,,,,,,,,,,"2,101,772",,,
