name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991
	OtherAssets,"201,132,000","181,244,000","120,459,000","106,505,000","81,371,000","76,651,000","37,047,000","74,035,000","71,117,000","67,828,000","55,251,000","41,969,000","41,709,000","51,391,000","58,260,000","26,847,000","28,094,000","24,682,000","19,504,000","17,315,000","15,166,000","17,842,000","15,070,000","3,233,000","6,199,000","2,173,000","1,600,000","1,900,000","800,000","1,700,000","900,000","900,000","2,700,000"
TotalLiabilitiesNetMinorityInterest,"24,722,348,000","23,792,070,000","22,763,023,000","16,197,165,000","11,723,266,000","10,599,630,000","8,507,292,000","8,333,731,000","8,012,582,000","7,278,460,000","6,921,100,000","6,846,491,000","6,337,679,000","5,921,083,000","5,505,905,000","4,877,030,000","4,288,754,000","4,015,155,000","3,373,105,000","2,740,553,000","2,501,794,000","2,069,095,000","1,908,764,000","958,261,000","888,637,000","627,843,000","582,600,000","493,700,000","349,800,000","306,100,000","257,500,000","241,600,000","174,800,000"
	TotalDeposits,"19,929,167,000","20,606,555,000","21,337,249,000","14,797,529,000","10,776,457,000","9,493,767,000","7,579,747,000","7,372,279,000","6,945,008,000","6,345,212,000","5,579,967,000","5,364,461,000","4,821,213,000","4,521,902,000","4,100,152,000","3,262,475,000","3,184,478,000","3,207,533,000","2,534,712,000","1,729,708,000","1,597,625,000","1,459,923,000","1,446,064,000","720,570,000","644,106,000","475,844,000","404,400,000","321,700,000","197,900,000","183,100,000","181,100,000","183,300,000","120,500,000"
		InterestBearingDepositsLiabilities,"13,906,187,000","12,915,804,000","13,557,961,000","9,342,990,000","7,079,830,000","6,492,589,000","5,267,845,000","5,330,427,000","5,026,698,000","4,712,809,000","4,205,548,000","4,172,528,000","3,810,314,000","3,666,073,000","3,289,602,000","2,515,036,000","2,396,391,000","2,378,178,000","1,867,704,000","1,269,649,000","1,228,573,000","1,164,907,000","1,211,746,000","579,363,000","517,179,000","375,667,000","319,400,000","257,400,000","171,600,000","24,700,000","22,800,000","163,000,000","120,500,000"
			CustomerAccounts,"13,906,187,000","12,915,804,000","13,557,961,000","9,342,990,000","7,079,830,000","6,492,589,000","5,267,845,000","5,330,427,000","5,026,698,000","4,712,809,000","4,205,548,000","4,172,528,000","3,810,314,000","3,666,073,000","3,289,602,000","2,515,036,000","2,396,391,000","2,378,178,000","1,867,704,000","1,269,649,000","1,228,573,000","1,164,907,000","1,211,746,000","579,363,000","517,179,000","375,667,000","319,400,000","257,400,000","171,600,000","24,700,000","22,800,000","163,000,000","120,500,000"
		NonInterestBearingDeposits,"6,022,980,000","7,690,751,000","7,779,288,000","5,454,539,000","3,696,627,000","3,001,178,000","2,311,902,000","2,041,852,000","1,918,310,000","1,632,403,000","1,374,419,000","1,191,933,000","1,010,899,000","855,829,000","810,550,000","747,439,000","788,087,000","829,355,000","667,008,000","460,059,000","369,052,000","295,016,000","234,318,000","141,207,000","126,927,000","100,177,000","85,000,000","64,300,000","26,300,000","158,400,000","158,300,000","20,300,000",
	FederalFundsPurchasedAndSecuritiesSoldUnderAgreementToRepurchase,"1,486,850,000","945,916,000","1,020,794,000","1,004,583,000","569,824,000","396,151,000","362,573,000","473,650,000","423,414,000","397,107,000","313,394,000","289,508,000","258,643,000","249,403,000","437,506,000","1,102,363,000","178,041,000","170,216,000","129,530,000","76,158,000","56,968,000","46,206,000","32,585,000","24,877,000","19,766,000","17,239,000","21,600,000","9,800,000","20,800,000","33,100,000","15,000,000","14,900,000","48,200,000"
		FinancialInstrumentsSoldUnderAgreementsToRepurchase,"1,486,850,000","945,916,000","1,020,794,000","1,004,583,000","569,824,000","396,151,000","362,573,000","473,650,000","423,414,000","397,107,000","313,394,000","289,508,000","258,643,000","249,403,000","437,506,000","1,102,363,000",,,,,,,,,,,,,,,,,
	PayablesAndAccruedExpenses,"125,907,000","4,331,000","2,409,000","3,305,000","4,686,000","4,252,000","3,450,000","3,584,000","3,517,000","4,155,000","3,505,000","4,675,000","5,825,000","7,245,000","7,928,000","9,751,000","13,281,000","11,041,000","7,437,000","4,864,000","4,353,000","6,090,000","9,179,000","4,591,000","2,717,000","2,278,000","1,800,000","700,000","500,000","300,000","2,000,000","700,000","1,500,000"
		Payables,"125,907,000","4,331,000","2,409,000","3,305,000","4,686,000","4,252,000","3,450,000","3,584,000","3,517,000","4,155,000","3,505,000","4,675,000","5,825,000","7,245,000","7,928,000","9,751,000","13,281,000","11,041,000","7,437,000","4,864,000","4,353,000","6,090,000","9,179,000","4,591,000","2,717,000","2,278,000","1,800,000","700,000","500,000","300,000","2,000,000","700,000","1,500,000"
