name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996
EndCashPosition,"2,568,813,000","2,149,529,000","1,033,454,000","2,053,829,000","2,393,662,000","1,495,757,000","290,672,000","440,388,000","866,360,000","90,988,000","150,203,000","195,975,000","207,967,000","58,927,000","49,029,000","78,294,000","40,982,000","47,521,000","42,734,000","40,586,000","41,548,000","28,833,000","25,182,000","31,332,000","20,540,000","24,600,000","0","15,600,000","0"
	ChangesInCash,"1,114,024,000","1,116,075,000","-1,020,375,000","-339,833,000","897,905,000","1,205,085,000","-149,716,000","-425,972,000","775,372,000","-59,215,000","-45,772,000","-11,992,000","149,040,000","9,898,000","-29,265,000","37,312,000","-6,539,000","4,787,000","2,148,000","-962,000","12,715,000","3,651,000","-6,150,000","10,592,000","-4,022,000","9,500,000","-600,000","8,800,000","-2,200,000"
	BeginningCashPosition,"1,454,789,000","1,033,454,000","2,053,829,000","2,393,662,000","1,495,757,000","290,672,000","440,388,000","866,360,000","90,988,000","150,203,000","195,975,000","207,967,000","58,927,000","49,029,000","78,294,000","40,982,000","47,521,000","42,734,000","40,586,000","41,548,000","28,833,000","25,182,000","31,332,000","20,740,000","24,562,000","15,000,000","15,600,000","6,800,000","9,100,000"
	OtherCashAdjustmentOutsideChangeinCash,,,,,,,,,,,,,,,,,,,,,,,,,,"100,000","-15,000,000","-15,600,000","-6,900,000"
CapitalExpenditure,"-63,911,000","-29,139,000","-29,852,000","-33,918,000","-49,606,000","-98,691,000","-86,752,000","-38,864,000","-45,171,000","-16,804,000","-18,067,000","-10,106,000","-46,099,000","-21,138,000","-16,881,000","-9,199,000","-27,901,000","-11,899,000","-29,456,000","-26,966,000","-17,420,000","-12,250,000","-7,498,000","-4,048,000","-1,570,000","-5,000,000","-14,100,000","-7,300,000","-1,000,000"
IssuanceOfCapitalStock,,"0","0","338,980,000","0","0","0","299,723,000","0","110,000,000","0",,,,,,"75,000,000",,,,,,,,,,,,
IssuanceOfDebt,,"198,652,000","0","345,895,000","750,000,000","254,695,000","94,373,000","417,000","222,315,000","163,684,000","0","132,000",,,,,"88,414,000","141,872,000","20,619,000","160,800,000","15,464,000","44,414,000","29,676,000","32,988,000",,"87,700,000","14,400,000","10,000,000","4,800,000"
RepaymentOfDebt,,"0","-149,655,000","-227,620,000","-353,695,000","0","-20,000,000","-20,000,000","-386,206,000","-158,853,000","-98,545,000","0","-21,083,000","-73,111,000","-113,948,000","-82,394,000",,,"-110,205,000",,"-19,260,000",,,,"-60,287,000",,"-7,000,000","-10,300,000",
RepurchaseOfCapitalStock,"-8,010,000","-160,139,000","-355,542,000","-195,421,000","-1,853,000","-1,675,000","-3,770,000","0","-3,304,000","-6,857,000","-2,349,000","-1,370,000","-341,000",,,"-77,650,000",,,,,,,,,,,,,
FreeCashFlow,"813,157,000","852,412,000","735,094,000","494,284,000","502,340,000","325,953,000","618,562,000","345,616,000","196,757,000","184,374,000","78,699,000","49,213,000","-61,797,000","-550,000","24,019,000","38,764,000","18,181,000","30,771,000","-6,840,000","5,088,000","17,422,000","17,949,000","13,893,000","852,000","8,207,000","7,700,000","-11,900,000","-3,800,000","1,800,000"
