name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
				AllowanceForDoubtfulAccountsReceivable,"-28,503,000","-17,738,000","-33,957,000","-36,649,000","-27,130,000","-40,164,000","-23,746,000","-16,386,000","-12,882,000","-23,540,000",,,,,,,,,,,,,
			TaxesReceivable,"69,700,000","73,672,000","49,278,000","49,147,000","59,048,000","35,439,000","38,804,000","31,767,000","30,679,000","34,119,000","110,014,000","137,394,000","129,254,000",,,,,,,,,,
			DuefromRelatedPartiesCurrent,,,,,,,,,,"1,267,000","7,920,000","23,801,000","18,501,000",,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,"129,254,000",,,,,,,,,,
		PrepaidAssets,"233,424,000","217,841,000","238,158,000","183,855,000","117,696,000","142,628,000","116,950,000","85,356,000","129,057,000","104,039,000","93,959,000","80,846,000","86,264,000",,,,,,,,,,
		RestrictedCash,"34,091,000","625,381,000","617,448,000","44,488,000","43,280,000","38,379,000","35,539,000","29,030,000","34,948,000","43,290,000","62,046,000","65,232,000","75,506,000",,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,"9,744,000","7,162,000","9,188,000","4,902,000","5,879,000",,,,,,,,,,
	TotalNonCurrentAssets,"2,345,355,000","2,268,890,000","2,623,922,000","2,426,891,000","2,344,140,000","1,841,755,000","1,746,501,000","2,193,620,000","2,263,933,000","1,311,690,000","1,136,894,000","1,077,792,000","990,750,000",,,,,,,,,,
		NetPPE,"639,729,000","681,681,000","716,059,000","771,510,000","771,346,000","212,946,000","205,301,000","209,021,000","207,165,000","222,569,000","248,796,000","225,033,000","168,429,000","150,524,000","166,913,000","171,443,000","185,509,000","168,310,000","156,630,000","199,453,000",,,
			GrossPPE,"1,054,276,000","1,076,790,000","1,083,566,000","1,173,981,000","1,138,891,000","552,716,000","523,128,000","495,022,000","472,671,000","478,855,000","502,726,000","450,894,000","435,102,000","401,422,000","406,516,000","384,692,000","393,662,000",,,,,,
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,
				BuildingsAndImprovements,"170,830,000","135,103,000","143,464,000","155,434,000","142,298,000","145,034,000","151,912,000","132,821,000","137,181,000","152,982,000","173,772,000","166,560,000","164,168,000","168,711,000","181,679,000","175,426,000","185,509,000",,,,,,
				MachineryFurnitureEquipment,"230,713,000","236,194,000","218,527,000","240,825,000","215,254,000","204,585,000","183,541,000","172,353,000","160,553,000","150,458,000","149,598,000","122,125,000","85,396,000","76,461,000","67,502,000","60,223,000","49,405,000",,,,,,
				OtherProperties,"407,213,000","431,608,000","466,054,000","513,923,000","551,504,000",,,,,,,,,,,,,,,,,,
