name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1998
	TotalNonCurrentLiabilitiesNetMinorityInterest,"19,187,000,000","18,176,000,000","17,095,000,000","15,220,000,000","11,341,000,000","7,778,000,000","6,968,000,000","5,785,000,000","3,919,000,000","2,283,000,000","715,000,000","627,000,000","599,000,000","478,000,000","791,000,000","1,553,423,000","864,772,000","901,901,000","970,073,000","983,736,000","1,008,706,000","307,081,000","229,673,000",,
		LongTermDebtAndCapitalLeaseObligation,"14,344,000,000","13,749,000,000","13,109,000,000","12,023,000,000","8,527,000,000","5,834,000,000","5,424,000,000","5,180,000,000","3,268,000,000","1,494,000,000",,,,,"22,000,000","19,387,000","149,824,000","229,668,000","229,489,000","229,569,000","229,574,000","80,107,000","80,065,000","82,992,000","82,419,000"
			LongTermDebt,"14,344,000,000","13,749,000,000","13,109,000,000","12,023,000,000","8,527,000,000","5,834,000,000","5,424,000,000","5,180,000,000","3,268,000,000","1,494,000,000",,,,,"22,000,000","19,387,000","149,824,000","229,668,000","229,489,000","229,569,000","229,574,000","80,107,000","80,065,000","82,992,000","82,419,000"
			LongTermCapitalLeaseObligation,,,,,,,,,,,,,,,,,,,,,,,,"0",
		NonCurrentDeferredLiabilities,"369,000,000","393,000,000","395,000,000","86,000,000","85,000,000","67,000,000","106,000,000","81,000,000","79,000,000","115,000,000","117,000,000","104,000,000","113,000,000","74,000,000","80,000,000","74,518,000","71,278,000","66,198,000","61,188,000","73,227,000","64,125,000","67,445,000","0",,
			NonCurrentDeferredTaxesLiabilities,"369,000,000","393,000,000","395,000,000","86,000,000","85,000,000","67,000,000","106,000,000","81,000,000","79,000,000","115,000,000","117,000,000","104,000,000","113,000,000","74,000,000","80,000,000","74,518,000","71,278,000","66,198,000","61,188,000","73,227,000","64,125,000","67,445,000","0",,
		PreferredSecuritiesOutsideStockEquity,,,"29,000,000","29,000,000","74,000,000","71,000,000","71,000,000",,,,,,,,,,,,,,,,,,
		OtherNonCurrentLiabilities,"4,474,000,000","4,034,000,000","3,591,000,000","3,111,000,000","2,729,000,000","1,877,000,000","1,438,000,000","524,000,000","572,000,000","674,000,000","598,000,000","523,000,000","486,000,000","404,000,000","689,000,000","1,459,518,000","643,670,000","606,035,000","679,396,000","680,940,000","715,007,000","159,529,000","149,608,000",,
TotalEquityGrossMinorityInterest,"6,997,000,000","6,377,000,000","7,412,000,000","6,517,000,000","5,991,000,000","5,489,000,000","5,568,000,000","5,684,000,000","6,062,000,000","6,824,000,000","7,495,000,000","6,929,000,000","5,877,000,000","5,216,000,000","3,512,000,000","1,931,975,000","3,031,927,000","2,368,979,000","1,173,768,000","979,572,000","703,341,000","1,024,050,000","606,661,000","462,408,000","257,248,000"
	StockholdersEquity,"6,929,000,000","6,298,000,000","7,312,000,000","6,391,000,000","5,893,000,000","5,395,000,000","5,468,000,000","5,656,000,000","6,028,000,000","6,790,000,000","7,484,000,000","6,917,000,000","5,868,000,000","5,205,000,000","3,504,000,000","1,927,355,000","3,027,307,000","2,364,359,000","1,169,148,000","974,952,000","698,721,000","1,023,406,000","606,661,000","462,408,000","257,248,000"
