name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,11/30/2012,11/30/2011,11/30/2010,11/30/2009,11/30/2008,11/30/2007,11/30/2006,11/30/2005,11/30/2004,11/30/2003
		CashDividendsPaid,"-772,000,000","-752,000,000","-703,000,000","-636,000,000","-576,000,000","-573,000,000","-552,000,000","-527,000,000","-514,000,000","-515,000,000","-467,000,000","-399,000,000","-209,000,000","-110,000,000","-845,000,000","-101,034,000","-116,956,000","-879,146,000","-500,000,000","0","-637,000,000",
		ProceedsFromStockOptionExercised,,,,,,,,,,,,,"0","0","-172,000,000","0","0",,,,,
		NetOtherFinancingCharges,,,,,,,,,,,,"-9,000,000","-291,000,000",,"-172,000,000",,,"273,138,000",,,,
EndCashPosition,"10,897,000,000","11,728,000,000","8,897,000,000","11,332,000,000","13,589,000,000","6,964,000,000","15,145,000,000","13,387,000,000","12,009,000,000","9,572,000,000","7,284,000,000","6,554,000,000","3,926,000,000","2,850,000,000","5,099,000,000","13,020,719,000","10,171,143,000","8,787,095,000","874,357,000","555,482,000","804,612,000",
	ChangesInCash,"2,253,000,000","2,831,000,000","-2,435,000,000","-2,257,000,000","6,625,000,000","-8,181,000,000","1,758,000,000","1,378,000,000","2,338,000,000","2,288,000,000","730,000,000","3,970,000,000","1,076,000,000","-2,249,000,000","-7,922,000,000","2,849,576,000","1,408,640,000","7,901,873,000","318,212,000","-247,547,000","-453,741,000",
	EffectOfExchangeRateChanges,,,,,,,,,,,,,,,"0","0","-24,592,000","10,865,000","663,000","-1,583,000","3,496,000",
	BeginningCashPosition,"8,644,000,000","8,897,000,000","11,332,000,000","13,589,000,000","6,964,000,000","15,145,000,000","13,387,000,000","12,009,000,000","9,671,000,000","7,284,000,000","6,554,000,000","2,584,000,000","2,850,000,000","5,099,000,000","13,021,000,000","10,171,143,000","8,787,095,000","874,357,000","555,482,000","804,612,000","1,254,857,000",
IncomeTaxPaidSupplementalData,,"1,605,000,000","1,865,000,000","1,305,000,000","901,000,000","1,088,000,000","650,000,000","1,424,000,000","1,300,000,000","1,341,000,000","1,388,000,000","1,348,000,000","1,301,000,000","906,000,000","169,000,000","913,988,000","670,763,000","531,253,000","519,717,000","437,158,000","481,675,000",
InterestPaidSupplementalData,,"4,508,000,000","1,666,000,000","1,077,000,000","1,799,000,000","2,407,000,000","1,847,000,000","1,396,000,000","1,211,000,000","1,070,000,000","933,000,000","975,000,000","1,203,000,000","1,342,000,000","1,452,000,000","1,266,427,000","1,305,554,000","1,233,366,000","992,575,000","710,748,000","655,268,000",
CapitalExpenditure,"-281,000,000","-303,000,000","-236,000,000","-194,000,000","-261,000,000","-284,000,000","-254,000,000","-218,000,000","-179,000,000","-167,000,000","-145,000,000","-231,000,000","-144,000,000","-111,000,000","-55,000,000","-53,793,000","-93,532,000","-118,265,000","-144,151,000","-97,963,000","-98,712,000",
IssuanceOfCapitalStock,"13,000,000","12,000,000","10,000,000","9,000,000","503,000,000","7,000,000","6,000,000","568,000,000","7,000,000","5,000,000","5,000,000","13,000,000","586,000,000","23,000,000","1,000,000","1,758,380,000","0","273,138,000",,,,
IssuanceOfDebt,"2,034,000,000","4,271,000,000","6,885,000,000","1,727,000,000","494,000,000","4,859,000,000","6,999,000,000","6,186,000,000","4,192,000,000","5,764,000,000","6,695,000,000","6,394,000,000","5,850,000,000","3,700,000,000","2,803,000,000","1,098,194,000","0","2,102,951,000","638,691,000",,"340,879,000",
RepaymentOfDebt,"-3,180,000,000","-3,834,000,000","-5,229,000,000","-4,373,000,000","-5,286,000,000","-6,573,000,000","-6,203,000,000","-5,363,000,000","-3,419,000,000","-3,634,000,000","-4,678,000,000","-3,638,000,000","-3,765,000,000","-6,106,000,000","-9,947,000,000","-404,211,000","-397,606,000","-1,486,271,000","-45,621,000","-321,242,000","-104,451,000",
RepurchaseOfCapitalStock,"-59,000,000","-1,938,000,000","-2,359,000,000","-2,260,000,000","-348,000,000","-1,768,000,000","-2,065,000,000","-2,656,000,000","-1,908,000,000","-1,715,000,000","-1,564,000,000","-1,296,000,000","-1,216,000,000","-436,000,000","-1,233,000,000","-11,385,000","-6,838,000","-1,419,000","0","0",,
FreeCashFlow,"9,405,000,000","8,260,000,000","6,904,000,000","5,825,000,000","5,935,000,000","5,912,000,000","4,937,000,000","4,990,000,000","4,246,000,000","3,687,000,000","3,681,000,000","3,286,000,000","2,897,000,000","3,487,000,000","4,163,000,000","3,544,099,000","4,410,627,000","1,919,760,000","1,576,636,000","1,538,111,000","1,489,247,000",
