name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008
		CapitalStock,"8,850,000","1,124,403,000","1,124,336,000","1,606,831,000","491,058,000","490,894,000",,,,,,,,,,
			PreferredStock,"0","1,115,792,000","1,118,379,000","1,601,102,000","485,458,000","482,554,000",,,,,,,,,,
			CommonStock,"8,850,000","8,611,000","5,957,000","5,729,000","5,600,000","8,340,000",,,,,,,,,,
		AdditionalPaidInCapital,"17,549,157,000","16,284,057,000","8,997,435,000","8,687,817,000","8,565,919,000","8,106,408,000",,,,,,,,,,
		RetainedEarnings,"9,818,336,000","6,701,107,000","7,670,182,000","3,440,782,000","1,792,152,000","91,953,000",,,,,,,,,,
		GainsLossesNotAffectingRetainedEarnings,"-4,517,649,000","-5,301,800,000","-209,789,000","-18,612,000","-41,639,000","-39,645,000","-19,481,000",,"-28,799,000","-20,404,000","-5,899,000","-4,606,000","-2,189,000",,,
			OtherEquityAdjustments,"-4,517,649,000","-5,301,800,000","-209,789,000","-18,612,000","-41,639,000","-39,645,000",,,,,,,,,,
	MinorityInterest,"35,520,218,000","36,562,923,000","40,557,056,000","27,083,098,000","19,694,884,000","16,732,999,000","13,476,864,000","11,178,250,000","43,920,403,000","46,321,370,000","43,862,808,000","39,401,095,000","36,355,952,000","34,673,549,000","26,347,632,000","19,698,478,000"
TotalCapitalization,"71,491,855,000","61,939,862,000","56,460,371,000","47,140,414,000","37,820,774,000","30,990,802,000","28,379,795,000","24,483,908,000","24,261,779,000","16,220,475,000","4,630,616,000","3,127,773,000","2,893,414,000","1,326,493,000","3,074,034,000","2,557,004,000"
PreferredStockEquity,,"1,115,792,000","1,118,379,000","1,601,102,000","485,458,000","482,554,000",,,,,,,,,,
CommonStockEquity,"22,858,694,000","17,691,975,000","16,463,785,000","12,115,716,000","10,322,032,000","8,167,056,000","7,185,936,000","5,939,833,000","5,547,182,000","5,382,691,000","2,722,010,000","2,004,359,000","1,328,698,000","1,326,493,000","1,013,849,000","151,879,000"
CapitalLeaseObligations,"554,418,000","542,902,000","411,569,000","191,564,000","125,086,000","0",,,,,,,,,,
NetTangibleAssets,"15,464,918,000","13,356,440,000","15,290,620,000","13,633,318,000","10,723,990,000","8,566,110,000","-212,678,000","-224,024,000","-265,987,000","-298,202,000","-266,545,000","-286,484,000","-24,310,000","1,326,493,000","1,013,849,000","151,879,000"
WorkingCapital,"20,746,386,000","14,367,666,000","8,824,612,000","5,539,445,000","1,786,364,000","2,050,821,000","2,756,000,000","3,698,978,000","1,668,778,000","1,585,176,000","1,550,656,000","1,857,050,000","1,778,021,000",,,
InvestedCapital,"71,691,855,000","61,224,070,000","55,341,992,000","45,539,312,000","37,335,316,000","30,508,248,000","28,379,795,000","24,483,908,000","24,261,779,000","16,220,475,000","4,630,616,000","3,127,773,000","2,893,414,000","1,486,960,000","2,060,185,000","2,405,125,000"
TangibleBookValue,"15,464,918,000","12,240,648,000","14,172,241,000","12,032,216,000","10,238,532,000","8,083,556,000","6,973,258,000","5,715,809,000","5,281,195,000","5,084,489,000","2,455,465,000","1,717,875,000","1,304,388,000","1,326,493,000","1,013,849,000","151,879,000"
TotalDebt,"49,387,579,000","44,074,997,000","39,289,776,000","33,615,160,000","27,138,370,000","22,341,192,000","21,193,859,000","18,544,075,000","18,714,597,000","10,837,784,000","1,908,606,000","1,123,414,000","1,564,716,000","1,486,960,000","2,060,185,000","2,405,125,000"
NetDebt,"28,484,594,000","30,708,539,000","28,786,605,000","26,915,722,000","23,850,130,000","19,896,045,000","17,514,800,000","14,410,415,000","16,194,737,000","8,546,929,000","161,415,000",,,"52,365,000","1,231,355,000","1,241,160,000"
ShareIssued,"885,005,588","861,110,478","595,663,618","572,893,738","560,007,579","534,857,237","486,174,736","452,380,335","457,834,875","433,330,540","288,143,327","253,363,691","227,150,182","212,770,091","204,902,226","204,902,226"
OrdinarySharesNumber,"885,005,588","861,110,478","595,663,618","572,893,738","560,007,579","534,857,237","486,174,736","452,380,335","457,834,875","433,330,540","288,143,327","253,363,691","227,150,182","212,770,091","204,902,226","204,902,226"
PreferredSharesNumber,,"22,999,974","23,000,000","43,000,000","20,000,000","20,000,000","20,000,000","20,000,000",,,,,,,,
