name,ttm,03/31/2024,03/31/2023,03/31/2022,03/31/2021,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,03/31/2011,03/31/2010,03/31/2009,03/31/2008,03/31/2007,03/31/2006,03/31/2005,03/31/2004,03/31/2003,03/31/2002,03/31/2001,03/31/2000,03/31/1999,03/31/1998,03/31/1997,03/31/1996,03/31/1995
			CommonStockIssuance,"111,000,000","116,000,000","163,000,000","220,000,000","92,000,000","113,000,000","75,000,000","132,000,000","120,000,000","123,000,000","152,000,000","177,000,000","166,000,000","167,000,000","367,000,000","212,000,000","97,000,000","354,000,000","399,000,000","568,000,000","223,000,000","93,000,000","78,800,000","88,100,000","38,600,000","26,200,000","224,900,000","147,800,000","79,700,000","19,200,000","13,500,000"
			CommonStockPayments,"-2,856,000,000","-3,025,000,000","-3,638,000,000","-3,516,000,000","-742,000,000","-1,934,000,000","-1,639,000,000","-1,709,000,000","-2,311,000,000","-1,612,000,000","-450,000,000","-130,000,000","-1,214,000,000","-1,874,000,000","-2,050,000,000","-323,000,000","-502,000,000","-1,698,000,000","-1,003,000,000","-958,000,000",,"-157,000,000","-25,000,000","-44,200,000","-65,600,000",,,,"-157,900,000","-62,700,000","-3,100,000"
		CashDividendsPaid,"-322,000,000","-314,000,000","-292,000,000","-277,000,000","-276,000,000","-294,000,000","-292,000,000","-262,000,000","-253,000,000","-244,000,000","-227,000,000","-214,000,000","-194,000,000","-195,000,000","-171,000,000","-131,000,000","-116,000,000","-70,000,000","-72,000,000","-73,000,000","-70,000,000","-70,000,000","-79,700,000","-78,500,000","-78,300,000","-77,500,000","-94,800,000","-69,100,000","-51,900,000","-44,200,000","-69,900,000"
			CommonStockDividendPaid,"-322,000,000","-314,000,000","-292,000,000","-277,000,000","-276,000,000","-294,000,000","-292,000,000","-262,000,000","-253,000,000","-244,000,000","-227,000,000","-214,000,000","-194,000,000","-195,000,000","-171,000,000",,,,,,,,,,,,,,,,
		NetOtherFinancingCharges,"-221,000,000","-175,000,000","-324,000,000","-1,598,000,000","-227,000,000","-321,000,000","-355,000,000","-297,000,000","-18,000,000","5,000,000","-41,000,000","62,000,000","31,000,000","27,000,000","54,000,000","-283,000,000","4,000,000","106,000,000","89,000,000","-96,000,000","24,000,000","42,000,000","13,200,000","19,700,000","12,600,000","15,600,000","-900,000","-5,500,000","193,100,000","4,100,000","17,700,000"
OtherCashAdjustmentInsideChangeinCash,,"0","470,000,000","-540,000,000","0","0",,,,,,,,,,,,,,,,,,,,,,,,,
EndCashPosition,"2,304,000,000","4,583,000,000","4,678,000,000","3,532,000,000","6,278,000,000","4,023,000,000","2,981,000,000","2,672,000,000","4,254,000,000","4,048,000,000","5,341,000,000","4,193,000,000","2,456,000,000","3,149,000,000","3,612,000,000","3,731,000,000","2,109,000,000","1,362,000,000","1,954,000,000","2,139,000,000","1,800,000,000","708,000,000","522,000,000","557,800,000","433,500,000","548,900,000","233,700,000","564,400,000","434,500,000","260,800,000","363,100,000"
	ChangesInCash,"-332,000,000","-100,000,000","719,000,000","-2,516,000,000","2,434,000,000","1,061,000,000","428,000,000","-1,732,000,000","-594,000,000","-1,338,000,000","1,467,000,000","1,709,000,000","-682,000,000","-457,000,000","-127,000,000","1,586,000,000","802,000,000","-606,000,000","-190,000,000","342,000,000","1,092,000,000","186,000,000","-35,800,000","124,300,000","-115,400,000","315,200,000","-330,700,000","132,800,000","-29,100,000","-102,300,000","300,400,000"
	EffectOfExchangeRateChanges,"-1,000,000","6,000,000","25,000,000","55,000,000","-61,000,000","-19,000,000","-119,000,000","150,000,000","-144,000,000","45,000,000","-319,000,000","28,000,000","-11,000,000","-6,000,000","8,000,000","36,000,000","-55,000,000","14,000,000","5,000,000","-3,000,000",,,,,,,,,,,
	BeginningCashPosition,"2,636,000,000","4,679,000,000","3,935,000,000","6,396,000,000","4,023,000,000","2,981,000,000","2,672,000,000","4,254,000,000","4,992,000,000","5,341,000,000","4,193,000,000","2,456,000,000","3,149,000,000","3,612,000,000","3,731,000,000","2,109,000,000","1,362,000,000","1,954,000,000","2,139,000,000","1,800,000,000","708,000,000","522,000,000","557,800,000","433,500,000","548,900,000","233,700,000","564,400,000","431,600,000","463,600,000","363,100,000","62,700,000"
	OtherCashAdjustmentOutsideChangeinCash,"-3,000,000","-2,000,000","-1,000,000","-403,000,000","-118,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,"-385,400,000"
IncomeTaxPaidSupplementalData,,"901,000,000","562,000,000","359,000,000","379,000,000","368,000,000","262,000,000","144,000,000","587,000,000","923,000,000","866,000,000","508,000,000","55,000,000","337,000,000","347,000,000","234,000,000","235,000,000",,,,,,,,,,,,,,
InterestPaidSupplementalData,,"234,000,000","224,000,000","186,000,000","220,000,000","235,000,000","383,000,000","298,000,000","315,000,000","337,000,000","359,000,000","255,000,000","207,000,000","228,000,000","244,000,000","188,000,000","139,000,000",,,,,,,,,,,,,,
CapitalExpenditure,"-730,000,000","-687,000,000","-558,000,000","-535,000,000","-641,000,000","-506,000,000","-557,000,000","-580,000,000","-562,000,000","-677,000,000","-545,000,000","-419,000,000","-400,000,000","-398,000,000","-388,000,000","-378,000,000","-392,000,000","-356,000,000","-306,000,000","-326,000,000","-271,000,000","-112,000,000","-116,000,000","-130,800,000","-158,900,000","-145,100,000","-199,200,000","-166,400,000","-1,354,900,000","-107,100,000","-77,100,000"
IssuanceOfCapitalStock,"111,000,000","116,000,000","163,000,000","220,000,000","92,000,000","113,000,000","75,000,000","132,000,000","120,000,000","123,000,000","152,000,000","177,000,000","166,000,000","167,000,000","367,000,000","212,000,000","97,000,000","354,000,000","399,000,000","568,000,000","223,000,000","93,000,000","78,800,000","88,100,000","38,600,000","26,200,000","224,900,000","147,800,000","79,700,000","19,200,000","13,500,000"
IssuanceOfDebt,"21,260,000,000","20,955,000,000","9,447,000,000","11,690,000,000","6,823,000,000","21,437,000,000","38,364,000,000","22,064,000,000","10,118,000,000","1,561,000,000","3,103,000,000","10,204,000,000","4,023,000,000","400,000,000","2,689,000,000","5,000,000","4,329,000,000",,,,,,,,,,,,,,
RepaymentOfDebt,"-21,280,000,000","-20,899,000,000","-9,724,000,000","-12,840,000,000","-7,363,000,000","-21,735,000,000","-38,380,000,000","-23,012,000,000","-9,725,000,000","-3,286,000,000","-3,505,000,000","-6,480,000,000","-3,768,000,000","-430,000,000","-2,730,000,000","-224,000,000","-3,634,000,000",,,,,,,,,,,,,,
RepurchaseOfCapitalStock,"-2,856,000,000","-3,025,000,000","-3,638,000,000","-3,516,000,000","-742,000,000","-1,934,000,000","-1,639,000,000","-1,709,000,000","-2,311,000,000","-1,612,000,000","-450,000,000","-130,000,000","-1,214,000,000","-1,874,000,000","-2,050,000,000","-323,000,000","-502,000,000","-1,698,000,000","-1,003,000,000","-958,000,000",,"-157,000,000","-25,000,000","-44,200,000","-65,600,000",,,,"-157,900,000","-62,700,000","-3,100,000"
FreeCashFlow,"3,256,000,000","3,627,000,000","4,601,000,000","3,899,000,000","3,901,000,000","3,868,000,000","3,479,000,000","3,765,000,000","4,182,000,000","2,995,000,000","2,567,000,000","2,717,000,000","2,083,000,000","2,552,000,000","1,950,000,000","1,938,000,000","959,000,000","513,000,000","1,233,000,000","2,412,000,000","1,272,000,000","483,000,000","579,500,000","195,400,000","166,300,000","-459,900,000","34,900,000","56,900,000","-924,800,000","-103,300,000","122,000,000"
