name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987
			OtherIntangibleAssets,"27,485,000,000","36,355,000,000","42,775,000,000","53,449,000,000","63,969,000,000","1,091,000,000","1,210,000,000","1,385,000,000","1,419,000,000","1,753,000,000","2,318,000,000","8,778,000,000","3,124,000,000","3,370,000,000","2,865,000,000","1,151,000,000","1,330,000,000","1,852,000,000","1,921,000,000","2,260,000,000","1,732,000,000","1,904,000,000","2,084,000,000","384,000,000","1,502,000,000","1,587,000,000","1,625,000,000","1,508,000,000","1,219,000,000","939,000,000","191,000,000","153,000,000","170,000,000","192,000,000","224,000,000","228,000,000","209,000,000"
		InvestmentsAndAdvances,"2,499,000,000","2,187,000,000","2,713,000,000","4,509,000,000","4,172,000,000","1,775,000,000","2,480,000,000","2,719,000,000","4,660,000,000","4,408,000,000","3,747,000,000","3,523,000,000","2,909,000,000","2,681,000,000","1,369,000,000","188,000,000",,,,,,,,,,,,,,,,,,,,,
			LongTermEquityInvestment,"1,699,000,000","2,187,000,000","2,713,000,000","4,076,000,000","3,405,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			InvestmentinFinancialAssets,"800,000,000","0","0","433,000,000","767,000,000","1,775,000,000","2,480,000,000","2,719,000,000","4,660,000,000","4,408,000,000","3,747,000,000","3,523,000,000","2,909,000,000",,,,,,,,,,,,,,,,,,,,,,,,
				AvailableForSaleSecurities,"364,000,000",,"2,713,000,000","433,000,000","767,000,000","1,775,000,000","2,480,000,000","2,719,000,000","4,660,000,000","4,408,000,000","3,747,000,000","3,523,000,000","2,909,000,000",,,,,,,,,,,,,,,,,,,,,,,,
				HeldToMaturitySecurities,"436,000,000","0",,"433,000,000","767,000,000","1,775,000,000","2,480,000,000","2,719,000,000","4,660,000,000","4,408,000,000","3,747,000,000","3,523,000,000","2,909,000,000",,,,,,,,,,,,,,,,,,,,,,,,
			OtherInvestments,,,,"433,000,000","767,000,000","1,775,000,000","2,480,000,000","2,719,000,000","4,660,000,000","4,408,000,000","3,747,000,000","3,523,000,000","2,909,000,000",,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentAccountsReceivable,"436,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredAssets,"2,768,000,000","1,344,000,000","1,439,000,000","1,161,000,000","510,000,000","815,000,000","1,610,000,000","2,996,000,000","2,844,000,000","915,000,000","508,000,000","203,000,000","688,000,000","850,000,000","1,636,000,000","2,137,000,000","2,716,000,000","2,577,000,000","1,808,000,000","1,129,000,000","1,234,000,000","1,097,000,000",,,,,,,,,,,,,,,
			NonCurrentDeferredTaxesAssets,"2,768,000,000","1,344,000,000","1,439,000,000","1,161,000,000","510,000,000","815,000,000","1,610,000,000","2,996,000,000","2,844,000,000","915,000,000","508,000,000","203,000,000","688,000,000","850,000,000","1,636,000,000","2,137,000,000","2,716,000,000","2,577,000,000","1,808,000,000","1,129,000,000","1,234,000,000","1,097,000,000",,,,,,,,,,,,,,,
