name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990
OperatingIncome,"4,065,900,000","4,233,200,000","4,994,000,000","8,994,800,000","3,576,600,000","2,209,800,000","2,534,400,000","2,079,600,000","1,330,700,000","1,251,916,000","823,919,000","743,050,000","457,713,000","-205,159,000","-97,472,000","-74,103,000","-86,249,000","-114,454,000","-107,655,000","124,421,000","5,646,000","-99,988,000","-121,953,000","-85,683,000","-25,276,000","-23,800,000","-12,500,000","-13,700,000","-17,300,000","-7,600,000","-29,200,000","-38,800,000","-18,300,000","-9,600,000","-3,300,000"
NetNonOperatingInterestIncomeExpense,"556,300,000","422,900,000","100,700,000","-11,500,000","-56,900,000","-30,200,000","-28,200,000","-25,100,000","-7,200,000","-14,241,000","-37,372,000","-46,437,000","-45,304,000","-21,282,000","-9,118,000","-2,337,000","-7,752,000","-12,043,000",,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"623,300,000","495,900,000","160,100,000","45,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"67,000,000","73,000,000","59,400,000","57,300,000","56,900,000","30,200,000","28,200,000","25,100,000","7,200,000","14,241,000","37,372,000","46,437,000","45,304,000","21,282,000","9,118,000","2,337,000","7,752,000","12,043,000",,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-35,000,000","-456,800,000","-235,900,000","342,500,000","290,700,000","249,500,000","47,300,000","24,000,000","6,300,000","-12,578,000","-25,312,000","-231,000","2,012,000","3,549,000","2,122,000","4,488,000","17,223,000","20,897,000","16,548,000","41,021,000","48,228,000","4,462,000","9,435,000","12,160,000","-4,575,000","-4,200,000","-2,500,000","2,800,000","-14,300,000","-14,700,000",,,,"5,200,000",
	GainOnSaleOfSecurity,"141,200,000","-250,700,000","10,400,000","386,500,000",,,,,,"6,283,000","8,157,000","-231,000","2,012,000","3,549,000","2,122,000",,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,"-161,000,000","-186,100,000","-255,100,000","-48,000,000",,,,,,"-18,861,000","-33,469,000","0","0",,"2,122,000","4,488,000","17,223,000","20,897,000","16,548,000","41,021,000","48,228,000","4,462,000","9,435,000","12,160,000","-4,575,000","-4,200,000","-2,500,000","2,800,000","-14,300,000","-14,700,000",,,,"5,200,000",
		RestructuringAndMergernAcquisition,,"186,100,000","255,100,000","48,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		WriteOff,,,,,,,,,,,,,,,,"0","938,000","0",,,,,,,,,,,,,,,,,
		OtherSpecialCharges,"161,000,000","186,100,000","255,100,000","48,000,000",,,,,,"18,861,000","33,469,000",,,,,"-4,488,000","-18,161,000","-20,897,000",,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"-15,200,000","-20,000,000","8,800,000","4,000,000","290,700,000","249,500,000","47,300,000","24,000,000","6,300,000","-12,578,000","-25,312,000",,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"4,587,200,000","4,199,300,000","4,858,800,000","9,325,800,000","3,810,400,000","2,429,100,000","2,553,500,000","2,078,500,000","1,329,800,000","1,225,097,000","761,235,000","696,382,000","414,421,000","-222,892,000","-104,468,000","-71,952,000","-76,778,000","-105,600,000",,,,,,,,,,,,,,,,,
