name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000
		DeferredTax,"122,000,000","-78,000,000","-631,000,000","-132,000,000","-51,000,000","55,000,000","-129,000,000","-108,000,000","92,000,000","-17,000,000","-42,000,000","-2,000,000","-14,000,000","2,031,000","10,317,000","3,696,000","1,286,000","-10,223,000","-6,692,000","1,786,000","-1,638,000","772,000","-574,000","-37,000",
			DeferredIncomeTax,"122,000,000","-78,000,000","-631,000,000","-132,000,000","-51,000,000","55,000,000","-129,000,000","-108,000,000","92,000,000","-17,000,000","-42,000,000","-2,000,000","-14,000,000","2,031,000","10,317,000","3,696,000","1,286,000","-10,223,000","-6,692,000","1,786,000","-1,638,000","772,000","-574,000","-37,000",
		AssetImpairmentCharge,"504,000,000","529,000,000","2,318,000,000","229,000,000","72,000,000","271,000,000","0","0","0","38,000,000","0","0","28,000,000","0","5,531,000","0","2,546,000","7,207,000",,,,,,,
		StockBasedCompensation,"231,000,000","216,000,000","234,000,000","203,000,000","281,000,000","177,000,000","145,000,000","135,000,000","148,000,000","71,000,000","48,000,000","37,000,000","25,000,000","18,171,000","13,874,000","14,634,000","15,328,000","15,781,000","14,904,000","4,974,000","650,000","188,000",,,
		OtherNonCashItems,"93,000,000","172,000,000","-33,000,000","-332,000,000",,,,"-1,000,000","-5,000,000","-44,000,000",,,,,,,,"-265,000","88,268,000","8,525,000","40,370,000","16,970,000","79,000","-384,000","548,000"
		ChangeInWorkingCapital,"-1,985,000,000","3,374,000,000","2,317,000,000","1,517,000,000","2,195,000,000","-1,002,000,000","-171,000,000","293,000,000","779,000,000","142,000,000","864,000,000","114,000,000","203,000,000","66,316,000","3,477,000","99,757,000","78,919,000","95,632,000","121,581,000","-10,392,000","5,697,000","-1,649,000","11,968,000","15,830,000","4,148,000"
			ChangeInReceivables,"-3,120,000,000","-2,380,000,000","-1,627,000,000","-2,453,000,000","-52,000,000","-1,076,000,000","-1,173,000,000","-50,000,000","74,000,000","-360,000,000","-463,000,000","-143,000,000","-117,000,000","-11,306,000","-23,359,000","2,379,000","-1,548,000","1,663,000","-39,765,000",,,"-2,364,000","-2,449,000","9,406,000","-4,087,000"
				ChangesInAccountReceivables,"-3,120,000,000","-2,380,000,000","-1,627,000,000","-2,453,000,000","-52,000,000","-1,076,000,000","-1,173,000,000","-50,000,000","74,000,000","-360,000,000","-463,000,000","-143,000,000","-117,000,000","-11,306,000","-23,359,000",,,,,,,,,,
			ChangeInPayablesAndAccruedExpense,"1,076,000,000","3,398,000,000","421,000,000","1,141,000,000","585,000,000","-421,000,000","-533,000,000","53,000,000","402,000,000","39,000,000","506,000,000","152,000,000","-22,000,000","38,889,000","37,398,000","-60,915,000","74,166,000","31,234,000","28,136,000","-4,215,000","6,483,000","1,531,000","1,083,000","-1,987,000","-331,000"
				ChangeInPayable,,,,,,,,,,,,,,,,,,,,,,"3,897,000","1,083,000","-1,987,000",
					ChangeInAccountPayable,,,,,,,,,,,,,,,,,,,,,,"22,623,000","15,597,000","-1,987,000",
			ChangeInOtherCurrentAssets,"-74,000,000","5,000,000","128,000,000","-99,000,000","-30,000,000","-234,000,000","-38,000,000","-146,000,000","167,000,000","-102,000,000","-7,000,000","-81,000,000","-34,000,000","-11,814,000","-5,268,000","-1,263,000","-4,244,000","-6,253,000","5,352,000","-6,177,000","-786,000","-3,180,000","-606,000","-238,000","684,000"
			ChangeInOtherCurrentLiabilities,"1,908,000,000","2,117,000,000","3,239,000,000","2,895,000,000","2,195,000,000","763,000,000","1,583,000,000","427,000,000","84,000,000","587,000,000","698,000,000","180,000,000","360,000,000","149,756,000","-30,421,000","79,000,000","-36,447,000",,,,,"22,623,000","15,597,000","8,686,000",
			ChangeInOtherWorkingCapital,"-1,775,000,000","234,000,000","156,000,000","33,000,000","-503,000,000","-34,000,000","-10,000,000","9,000,000","52,000,000","-22,000,000","130,000,000","6,000,000","16,000,000","-99,209,000","25,127,000","80,556,000","46,992,000","62,735,000","127,858,000",,,"-2,579,000","-1,657,000","8,649,000","7,882,000"
InvestingCashFlow,"-829,000,000","-1,191,000,000","-2,921,000,000","-3,299,000,000","-6,955,000,000","-1,532,000,000","-4,585,000,000","-1,254,000,000","-2,469,000,000","-813,000,000","-848,000,000","-342,000,000","-188,000,000","-129,076,000","-210,607,000","-270,087,000","-153,921,000","-225,464,000","-150,257,000","-56,451,000","-122,483,000","-140,741,000","-79,679,000","2,666,000","-14,617,000"
	CashFlowFromContinuingInvestingActivities,"-829,000,000","-1,191,000,000","-2,921,000,000","-3,299,000,000","-6,955,000,000","-1,532,000,000","-4,585,000,000","-1,254,000,000","-2,469,000,000","-813,000,000","-848,000,000","-342,000,000","-188,000,000","-129,076,000","-210,607,000","-270,087,000","-153,921,000","-225,464,000","-150,257,000","-56,451,000","-122,483,000","-140,741,000","-79,679,000","2,666,000","-14,617,000"
		CapitalExpenditureReported,"-696,000,000","-799,000,000","-1,004,000,000","-910,000,000","-869,000,000","-730,000,000","-675,000,000","-422,000,000","-306,000,000","-150,000,000","-103,000,000","-68,000,000","-82,000,000","-73,708,000","-118,556,000","-84,589,000","-65,156,000",,,,,,,,
		NetPPEPurchaseAndSale,,,,,,,,,,,,,,,,,"-65,156,000","-53,937,000","-50,318,000","-26,909,000","-25,009,000","-19,162,000","-3,918,000","-3,635,000","-642,000"
			PurchaseOfPPE,,,,,,,,,,,,,,,,,"-65,156,000","-53,937,000","-50,318,000","-26,909,000","-25,009,000","-19,162,000","-3,918,000","-3,635,000","-642,000"
			SaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,,"0","0"
		NetBusinessPurchaseAndSale,"997,000,000","707,000,000","1,017,000,000","-466,000,000","-3,583,000,000","-36,000,000","-2,055,000,000","-50,000,000","-1,297,000,000","-18,000,000","-136,000,000","-63,000,000","0","-4,375,000","-60,388,000","-38,563,000","-85,377,000","-36,001,000",,,,"-5,861,000","-10,501,000","-7,995,000","-1,097,000"
			PurchaseOfBusiness,,"0","-1,460,000,000","-534,000,000","-4,049,000,000","-36,000,000","-2,055,000,000","-50,000,000","-1,297,000,000","-18,000,000","-136,000,000","-63,000,000","0","-4,375,000","-60,388,000","-38,563,000","-85,377,000","-36,001,000",,,,"-5,861,000","-10,501,000","-7,995,000","-1,097,000"
			SaleOfBusiness,"997,000,000","707,000,000","2,477,000,000","68,000,000","466,000,000","0","0",,,,,,,,,,,,,,,,,,
