name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992
			AccumulatedDepreciation,"-559,879,000","-540,500,000","-526,238,000","-491,620,000","-464,665,000","-438,278,000","-406,168,000","-386,884,000","-361,518,000","-337,584,000","-314,689,000","-291,303,000","-263,805,000","-239,318,000","-217,995,000","-198,088,000","-209,117,000","-188,675,000","-167,059,000","-162,046,000","-148,935,000","-127,218,000","-101,214,000","-83,435,000","-33,600,000","-50,000,000","-32,700,000","-20,800,000","-11,900,000","-5,900,000","-2,600,000","-1,200,000"
		GoodwillAndOtherIntangibleAssets,"76,206,000","70,616,000","80,632,000","80,791,000","80,340,000","84,516,000","86,892,000","85,529,000","79,657,000","82,007,000","79,391,000","78,958,000","75,085,000","74,697,000","76,475,000","76,914,000","86,505,000","67,357,000","41,878,000","42,627,000","48,577,000","48,756,000","48,274,000","49,394,000","47,700,000","9,400,000",,,,,,
			Goodwill,"76,206,000","70,616,000","80,632,000","80,791,000","80,340,000","84,516,000","86,892,000","85,529,000","79,657,000","82,007,000","79,391,000","78,958,000","75,085,000","74,697,000","76,475,000","76,914,000","86,505,000","67,357,000","41,878,000",,,,"48,274,000",,,,,,,,,
			OtherIntangibleAssets,,,,,,,,,,,,,,,,,,,"41,878,000","42,627,000","48,577,000","48,756,000","48,274,000","49,394,000","47,700,000","9,400,000",,,,,,
		InvestmentsAndAdvances,,,,,,,,,,,,,"1,704,000","1,604,000","1,382,000","530,000","825,000",,,,,,,,,,,,,,,
		NonCurrentAccountsReceivable,,,,,,"-3,369,000","-1,047,000","-2,759,000",,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentNoteReceivables,"12,346,000","21,248,000","35,504,000","36,538,000","33,010,000","23,259,000","15,568,000","10,141,000","11,105,000","12,801,000","13,239,000","12,536,000","11,502,000","12,619,000","8,643,000","7,594,000","11,804,000",,,,,,,,,,,,,,,
		NonCurrentDeferredAssets,,"1,920,000","5,156,000","10,800,000","1,839,000","1,137,000","585,000","769,000","2,415,000","3,914,000","0",,,"1,551,000","6,804,000","17,518,000","12,384,000","1,643,000","1,899,000","6,117,000",,,,,,,,,,,,
			NonCurrentDeferredTaxesAssets,,"1,920,000","5,156,000","10,800,000","1,839,000","1,137,000","585,000","769,000","2,415,000","3,914,000","0",,,"1,551,000","6,804,000","17,518,000","12,384,000","1,643,000","1,899,000","6,117,000",,,,,,,,,,,,
		OtherNonCurrentAssets,"76,725,000","74,165,000","88,384,000","72,389,000","64,633,000","63,814,000","48,183,000","40,078,000","34,247,000","38,616,000","34,524,000","31,627,000","27,061,000","23,786,000","22,150,000","18,572,000","17,681,000","28,374,000","36,330,000","39,804,000","32,361,000","35,681,000","35,089,000","34,875,000","50,500,000","69,400,000","91,400,000","83,100,000","33,800,000","25,400,000","10,300,000","400,000"
TotalLiabilitiesNetMinorityInterest,"1,317,770,000","1,133,674,000","1,052,664,000","1,133,235,000","1,047,377,000","899,910,000","661,507,000","502,764,000","451,852,000","405,840,000","315,321,000","245,057,000","184,735,000","208,400,000","212,058,000","248,230,000","274,914,000","233,471,000","189,283,000","235,264,000","187,942,000","243,522,000","191,807,000","229,337,000","80,000,000","65,500,000","40,500,000","31,500,000","22,500,000","13,600,000","8,500,000","5,300,000"
	CurrentLiabilities,"304,596,000","265,157,000","287,424,000","288,869,000","207,945,000","188,894,000","132,860,000","128,030,000","132,937,000","106,762,000","97,861,000","103,581,000","81,133,000","76,183,000","88,770,000","100,128,000","107,189,000","102,096,000","101,533,000","113,684,000","80,917,000","74,702,000","66,434,000","69,749,000","68,800,000","45,500,000","30,400,000","23,000,000","16,900,000","11,800,000","7,200,000","3,500,000"
		PayablesAndAccruedExpenses,"204,381,000","163,898,000","169,383,000","158,420,000","105,067,000","101,953,000","77,891,000","99,823,000","106,672,000","83,817,000","81,997,000","85,725,000","65,889,000","76,183,000","88,770,000","93,053,000","98,489,000","86,435,000","78,571,000","80,705,000","68,597,000","58,237,000","50,581,000","23,586,000","24,900,000","18,400,000","15,100,000","13,100,000","9,400,000","6,800,000","4,800,000","2,000,000"
			Payables,"92,897,000","71,082,000","48,088,000","47,633,000","36,740,000","33,696,000","42,567,000","51,241,000","52,019,000","48,469,000","40,054,000","43,053,000","36,935,000","33,358,000","34,529,000","38,833,000","42,023,000","29,202,000","28,937,000","35,934,000","28,309,000","23,579,000","23,808,000","23,586,000","24,900,000","18,400,000","15,100,000","13,100,000","9,400,000","6,800,000","4,800,000","2,000,000"
				AccountsPayable,"74,949,000","62,316,000","28,092,000","37,370,000","29,141,000","27,106,000","32,006,000","42,701,000","43,492,000","38,832,000","35,653,000","32,624,000","32,966,000","31,569,000","28,675,000","29,148,000","31,157,000","29,202,000","28,937,000","35,934,000","28,309,000","23,579,000","23,808,000","23,586,000","24,900,000","18,400,000","15,100,000","13,100,000","9,400,000","6,800,000","4,800,000","2,000,000"
				TotalTaxPayable,"17,948,000","8,766,000","19,996,000","10,263,000","7,599,000","6,590,000","10,561,000","8,540,000","8,527,000","9,637,000","4,401,000","10,429,000","3,969,000","1,789,000","5,854,000","9,685,000","10,866,000",,,,,,,,,,,,,,,
					IncomeTaxPayable,,,,,,,"10,561,000","8,540,000","8,527,000","9,637,000","4,401,000","10,429,000","3,969,000","1,789,000","5,854,000","9,685,000","10,866,000",,,,,,,,,,,,,,,
			CurrentAccruedExpenses,"111,484,000","92,816,000","121,295,000","110,787,000","68,327,000","68,257,000","35,324,000","48,582,000","54,653,000","35,348,000","41,943,000","42,672,000","28,954,000","42,825,000","54,241,000","54,220,000","56,466,000","57,233,000","49,634,000","44,771,000","40,288,000","34,658,000","26,773,000",,,,,,,,,
				InterestPayable,"8,167,000","5,235,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentProvisions,"27,240,000","29,676,000","34,661,000","32,947,000","30,025,000","33,769,000","19,847,000","16,993,000","13,382,000","11,149,000","7,907,000","11,532,000","9,215,000",,,,,,,,,,,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,"33,105,000","30,268,000","27,520,000","47,083,000","45,015,000","20,009,000","20,000,000",,,,,,,,"0","7,075,000","8,700,000","525,000","6,100,000","15,709,000","250,000","235,000","225,000","897,000","5,300,000","200,000",,"200,000","800,000","800,000",,"300,000"
			CurrentDebt,,,,"20,000,000","20,000,000","20,009,000","20,000,000",,,,,,,,"0","7,075,000","8,700,000","525,000","6,100,000","15,709,000","250,000","235,000","225,000","897,000","5,300,000","200,000",,"200,000","800,000","800,000",,"300,000"
				OtherCurrentBorrowings,,,,"20,000,000","20,000,000","20,009,000",,,,,,,,,,,,,,,,,,,,,,,,,,
			CurrentCapitalLeaseObligation,"33,105,000","30,268,000","27,520,000","27,083,000","25,015,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredLiabilities,"20,427,000","21,272,000","21,700,000","19,590,000","17,673,000","24,041,000","4,276,000","3,339,000","2,734,000","2,357,000","1,682,000","1,137,000","1,339,000",,,,,,,,,,,,,,,,,,,
			CurrentDeferredRevenue,"20,427,000","21,272,000","21,700,000","19,590,000","17,673,000","24,041,000","4,276,000","3,339,000","2,734,000","2,357,000","1,682,000","1,137,000","1,339,000",,,,,,,,,,,,,,,,,,,
		OtherCurrentLiabilities,"19,443,000","20,043,000","34,160,000","30,829,000","10,165,000","9,122,000","10,846,000","7,875,000","10,149,000","9,439,000","6,275,000","5,187,000","4,690,000","0","0","0","10,866,000","15,136,000","16,862,000","17,270,000","12,070,000","16,230,000","15,628,000","45,266,000","38,600,000","26,900,000","15,300,000","9,700,000","6,700,000","4,200,000","2,400,000","1,200,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"1,013,174,000","868,517,000","765,240,000","844,366,000","839,432,000","711,016,000","528,647,000","374,734,000","318,915,000","299,078,000","217,460,000","141,476,000","103,602,000","132,217,000","123,288,000","148,102,000","167,725,000","131,375,000","87,750,000","121,580,000","107,025,000","168,820,000","125,373,000","159,588,000","11,200,000","20,000,000","10,100,000","8,500,000","5,600,000","1,800,000","1,300,000","1,800,000"
		LongTermProvisions,"29,512,000","37,624,000","53,551,000","49,002,000","45,151,000","42,144,000","21,995,000","18,450,000","17,168,000","14,262,000","11,558,000","10,771,000","11,065,000",,,,,,,,,,,,,,,,,,,
