name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996
				AmortizationCashFlow,,,,,,,,,,,,,,,,,,,,,,"2,752,000","5,478,000","181,033,000","321,772,000","214,694,000","42,599,000","0",
					AmortizationOfIntangibles,,,,,,,,,,,,,,,,,,,,,,"2,752,000","5,478,000","181,033,000","321,772,000","214,694,000","42,599,000","0",
		DeferredTax,"-4,383,000,000","-5,876,000,000","-8,148,000,000","-310,000,000","-554,000,000","796,000,000","441,000,000","-29,000,000","-246,000,000","81,000,000","-316,000,000","-156,000,000","-265,000,000","136,000,000","4,000,000","81,000,000","-5,000,000","-99,000,000","22,000,000","70,000,000","-257,000,000","1,000,000","-553,000",,,,,,
			DeferredIncomeTax,"-4,383,000,000","-5,876,000,000","-8,148,000,000","-310,000,000","-554,000,000","796,000,000","441,000,000","-29,000,000","-246,000,000","81,000,000","-316,000,000","-156,000,000","-265,000,000","136,000,000","4,000,000","81,000,000","-5,000,000","-99,000,000","22,000,000","70,000,000","-257,000,000","1,000,000","-553,000",,,,,,
		AssetImpairmentCharge,,,,,,,,,,,,,,,,,,,,,"-4,465,000",,"12,577,000","43,588,000","188,832,000",,"1,561,000",,
		StockBasedCompensation,"23,831,000,000","24,023,000,000","19,621,000,000","12,757,000,000","9,208,000,000","6,864,000,000","5,418,000,000","4,215,000,000","2,975,000,000","2,119,000,000","1,497,000,000","1,134,000,000","833,000,000","557,000,000","424,000,000","341,000,000","275,000,000","185,000,000","101,000,000","87,000,000","58,000,000","88,000,000","68,927,000","4,637,000","24,797,000","30,618,000","2,386,000","1,354,000","0"
		ExcessTaxBenefitFromStockBasedCompensation,,,,,,,,,"-829,000,000","-119,000,000","-6,000,000","-78,000,000","-429,000,000","-62,000,000","-259,000,000","-105,000,000","-159,000,000","-257,000,000","-102,000,000","-7,000,000","0",,,,,,,,
		OtherNonCashItems,"1,310,000,000","-748,000,000","16,966,000,000","-14,306,000,000","-2,653,000,000","-85,000,000","493,000,000","-90,000,000","140,000,000","405,000,000","-3,504,000,000","-2,012,000,000","-1,114,000,000","-923,000,000","-878,000,000","-501,000,000","-402,000,000","-190,000,000","-176,000,000","-205,000,000","-109,000,000","-88,000,000","-97,733,000","-23,222,000","110,833,000","31,406,000","23,970,000","64,000","100,000"
		ChangeInWorkingCapital,"-6,898,000,000","-11,541,000,000","-20,886,000,000","-19,611,000,000","13,481,000,000","-2,438,000,000","-1,043,000,000","-242,000,000","3,847,000,000","2,557,000,000","4,666,000,000","3,059,000,000","3,044,000,000","2,485,000,000","2,486,000,000","2,201,000,000","1,058,000,000","1,043,000,000","464,000,000","309,000,000","211,000,000","169,000,000","175,766,000","171,346,000","285,981,000","230,112,000","72,468,000","26,847,000","3,940,000"
			ChangeInReceivables,"-9,556,000,000","-8,348,000,000","-8,622,000,000","-9,145,000,000","-8,169,000,000","-7,681,000,000","-4,615,000,000","-4,780,000,000","-3,436,000,000","-1,755,000,000","-1,039,000,000","-846,000,000","-861,000,000","-866,000,000","-295,000,000","-481,000,000","-218,000,000","-255,000,000","-103,000,000","-84,000,000","-2,000,000","2,000,000","-31,704,000","20,732,000","-8,585,000",,,,
