name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997
		OtherNonCashItems,"265,000,000","148,000,000","-207,000,000","-392,000,000","1,730,000,000","442,000,000","491,000,000","138,000,000","442,000,000","327,000,000","263,000,000","148,000,000","135,000,000","248,000,000","291,000,000","103,000,000","178,000,000",,"-67,000,000","1,000,000",,,,,,,,"32,000,000"
		ChangeInWorkingCapital,"10,000,000","69,000,000","-542,000,000","110,000,000","-28,000,000","-273,000,000","-76,000,000","-30,000,000","-106,000,000","-41,000,000","-120,000,000","50,000,000","-137,000,000","62,000,000","120,000,000","106,000,000","172,000,000","71,000,000","139,000,000","27,000,000","196,000,000","41,000,000","-3,000,000","16,000,000","190,000,000","145,000,000","-7,000,000","39,000,000"
			ChangeInReceivables,,,,,,,,,,,,,,,,,,,"-10,000,000","-128,000,000","-6,000,000","-81,000,000","-31,000,000","57,000,000","-53,000,000","-126,000,000","-104,000,000","-82,000,000"
			ChangeInInventory,,,,,,,,,,,,,,,,,,,,,,,,"1,000,000","-4,000,000","-17,000,000","15,000,000","0"
			ChangeInPayablesAndAccruedExpense,,,,,,,,,,,,,,,,,,,"52,000,000","113,000,000","218,000,000","111,000,000","-32,000,000","-21,000,000","219,000,000","326,000,000","98,000,000","129,000,000"
				ChangeInPayable,,,,,,,,,,,,,,,,,,,,,,,,,,,,"129,000,000"
					ChangeInTaxPayable,,,,,,,,,,,,,,,,,,,,,,,,,,,,"64,000,000"
						ChangeInIncomeTaxPayable,,,,,,,,,,,,,,,,,,,,,,,,,,,,"64,000,000"
			ChangeInOtherCurrentAssets,,,,,,,,,,,,,,,,,,,"-9,000,000","-22,000,000","-16,000,000","11,000,000","60,000,000","-20,000,000","24,000,000","-38,000,000","-16,000,000","-8,000,000"
			ChangeInOtherWorkingCapital,,,,,,,,,,,,,,,,,"172,000,000","71,000,000","139,000,000","27,000,000",,,,,,,,
InvestingCashFlow,"-447,000,000","-465,000,000","-297,000,000","-187,000,000","35,000,000","-284,000,000","-52,000,000","1,211,000,000","-2,346,000,000","367,000,000","-313,000,000","-519,000,000","-585,000,000","-247,000,000","-264,000,000","-69,000,000","-483,000,000","125,000,000","119,000,000","-130,000,000","287,000,000","311,000,000","317,000,000","-481,000,000","-1,026,000,000","-787,000,000","-724,000,000","-1,048,000,000"
