name,03/31/2024,03/31/2023,03/31/2022,03/31/2021,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006
			AccruedInterestReceivable,"10,055,000,000","5,471,000,000","2,449,000,000","2,110,000,000","984,000,000","867,000,000","672,000,000","447,000,000","314,000,000","561,000,000","231,000,000","38,000,000","88,000,000","179,860,000","114,237,000",,,"20,920,000","8,331,000"
			TaxesReceivable,"19,904,000,000","17,497,000,000","23,779,000,000","17,363,000,000","11,826,000,000","7,347,000,000","8,915,000,000","8,810,000,000","6,589,000,000","3,457,000,000","78,000,000","59,000,000","410,000,000","218,244,000","6,503,000",,,,
			DuefromRelatedPartiesCurrent,"8,257,000,000","9,042,000,000","12,188,000,000","10,374,000,000","11,029,000,000","7,445,000,000","8,080,000,000","4,131,000,000","3,236,000,000","4,842,000,000","2,160,000,000","103,000,000","55,000,000","47,156,000","39,534,000",,,"26,320,000","25,148,000"
			OtherReceivables,"11,508,000,000","14,499,000,000","11,205,000,000","7,163,000,000","8,231,000,000","4,689,000,000","3,700,000,000","3,574,000,000","435,000,000","373,000,000","43,000,000","28,000,000","79,000,000","61,223,000","123,303,000",,,,
		Inventory,"25,460,000,000","28,547,000,000","30,087,000,000","27,858,000,000","14,859,000,000","8,534,000,000","4,535,000,000","957,000,000",,,,,,,,,,,
		PrepaidAssets,"17,784,000,000","16,794,000,000","17,902,000,000","18,532,000,000","7,547,000,000","7,049,000,000","4,283,000,000","2,431,000,000","1,242,000,000","433,000,000","394,000,000","158,000,000","60,000,000","51,456,000","49,706,000","309,028,000","186,476,000","48,143,000","25,070,000"
		RestrictedCash,"38,299,000,000","36,424,000,000","37,455,000,000","35,207,000,000","15,479,000,000","8,518,000,000","3,417,000,000","2,655,000,000","1,346,000,000","2,297,000,000","4,921,000,000","3,687,000,000","3,312,000,000","408,410,000","168,179,000",,,"0","781,000"
		CurrentDeferredAssets,"6,482,000,000","4,771,000,000","3,915,000,000","3,303,000,000","2,000,000,000","1,990,000,000","1,643,000,000","1,283,000,000","1,399,000,000","1,065,000,000","1,001,000,000","825,000,000","645,000,000",,,,,"219,229,000","163,392,000"
			CurrentDeferredTaxesAssets,,,,,,,,"652,000,000","451,000,000","256,000,000","191,000,000","208,000,000","97,000,000",,,,,,
		OtherCurrentAssets,"13,400,000,000","8,317,000,000","11,657,000,000","10,929,000,000","7,967,000,000","6,898,000,000","3,697,000,000","1,575,000,000","2,179,000,000","1,180,000,000","503,000,000","388,000,000","177,000,000","569,966,000","595,718,000","529,496,000","308,416,000","219,229,000","2,988,000"
	TotalNonCurrentAssets,"1,011,965,000,000","1,055,078,000,000","1,057,018,000,000","1,046,858,000,000","850,062,000,000","694,803,000,000","460,269,000,000","324,948,000,000","230,210,000,000","113,325,000,000","43,716,000,000","20,624,000,000","19,311,000,000","2,054,371,000","1,665,125,000","1,313,848,000","790,937,000","486,225,000","330,167,000"
		NetPPE,"273,433,000,000","257,435,000,000","253,451,000,000","222,156,000,000","138,047,000,000","92,030,000,000","66,489,000,000","20,206,000,000","13,629,000,000","9,139,000,000","5,581,000,000","3,808,000,000","2,463,000,000","732,759,000","781,145,000","783,122,000","386,545,000","158,992,000","113,304,000"
