name,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013,01/31/2012,01/31/2011,01/31/2010,01/31/2009,01/31/2008,01/31/2007,01/31/2006,01/31/2005,01/31/2004,01/31/2003,01/31/2002,01/31/2001,01/31/2000,01/31/1999,01/31/1998,01/31/1997
		TreasuryStock,"1,895,143,000","1,953,735,000","1,859,583,000","1,512,851,000","1,552,065,000","1,513,604,000","1,490,503,000","1,507,589,000","1,532,576,000","1,512,562,000","1,240,513,000","1,140,009,000","834,774,000","725,308,000","687,286,000","706,198,000","760,752,000","530,764,000","550,795,000","563,029,000","188,492,000","108,558,000","66,533,000","65,691,000","29,979,000","1,700,000","777,000",
		GainsLossesNotAffectingRetainedEarnings,"-135,968,000","-137,527,000","-114,706,000","-102,307,000","-108,886,000","-102,452,000","-95,054,000","-121,302,000","-114,619,000","-83,580,000","-20,917,000","-13,288,000","6,291,000","-6,516,000","-8,973,000","-22,681,000","7,118,000","-994,000","25,410,000","15,048,000",,,,,,,,
			ForeignCurrencyTranslationAdjustments,,,,,,,,,,,,,,,,,,"-317,000",,,,,,,,,,
			OtherEquityAdjustments,"-135,968,000","-137,527,000","-114,706,000","-102,307,000","-108,886,000","-102,452,000","-95,054,000","-121,302,000","-114,619,000","-83,580,000","-20,917,000","-13,288,000","6,291,000","-6,516,000","-8,973,000","-22,681,000",,"-677,000",,,,,,,,,,
		OtherEquityInterest,,,,,,,,,,,,,,,,,,,,,,,,,,"600,000",,
	MinorityInterest,"14,827,000","11,728,000","11,234,000","12,684,000","12,368,000","9,721,000","10,092,000","8,604,000","4,659,000",,,,,,,,,,,,,,,,,,,
TotalCapitalization,"1,257,279,000","991,693,000","1,129,664,000","1,280,538,000","1,290,773,000","1,459,339,000","1,492,065,000","1,506,427,000","1,577,298,000","1,681,011,000","1,849,493,000","1,818,268,000","1,931,335,000","1,959,350,000","1,899,130,000","1,945,578,000","1,618,313,000","1,405,297,000","995,117,000","669,326,000","857,765,000","749,527,000","595,434,000","422,700,000","311,094,000","186,100,000","108,775,000","61,238,000"
CommonStockEquity,"1,035,160,000","694,841,000","826,090,000","936,628,000","1,058,810,000","1,208,900,000","1,242,379,000","1,243,435,000","1,291,063,000","1,389,701,000","1,729,493,000","1,818,268,000","1,931,335,000","1,890,784,000","1,827,917,000","1,845,578,000","1,618,313,000","1,405,297,000","995,117,000","669,326,000","857,765,000","749,527,000","595,434,000","422,700,000","311,094,000","186,100,000","58,775,000","11,238,000"
CapitalLeaseObligations,"826,249,000","927,340,000","920,087,000","1,206,434,000","1,535,463,000","46,337,000","50,653,000","46,397,000","47,440,000","50,521,000","60,726,000","63,942,000","57,851,000",,,,,,,,,,,,,,,
NetTangibleAssets,"1,035,160,000","694,841,000","826,090,000","936,628,000","1,058,810,000","1,208,900,000","1,242,379,000","1,216,343,000","1,263,006,000","1,361,758,000","1,698,506,000","1,787,457,000","1,899,575,000","1,890,784,000","1,827,917,000","1,845,578,000","1,618,313,000","1,405,297,000","995,117,000","669,326,000","857,765,000","749,527,000","595,434,000","422,700,000","311,094,000","186,100,000","58,775,000","11,238,000"
WorkingCapital,"570,445,000","325,818,000","492,519,000","702,230,000","449,395,000","777,033,000","756,992,000","653,300,000","644,277,000","679,016,000","752,344,000","617,023,000","858,248,000","874,417,000","776,311,000","622,213,000","597,142,000","581,451,000","455,530,000","241,572,000","441,583,000","384,094,000","241,616,000","134,297,000","162,351,000","96,000,000","42,000,000","1,288,000"
InvestedCapital,"1,257,279,000","991,693,000","1,129,664,000","1,280,538,000","1,290,773,000","1,459,339,000","1,492,065,000","1,506,427,000","1,577,298,000","1,683,113,000","1,864,493,000","1,818,268,000","1,931,335,000","1,959,350,000","1,899,130,000","1,945,578,000","1,618,313,000","1,405,297,000","995,117,000","669,326,000","857,765,000","749,527,000","595,434,000","422,700,000","311,094,000","186,100,000","108,775,000","61,238,000"
TangibleBookValue,"1,035,160,000","694,841,000","826,090,000","936,628,000","1,058,810,000","1,208,900,000","1,242,379,000","1,216,343,000","1,263,006,000","1,361,758,000","1,698,506,000","1,787,457,000","1,899,575,000","1,890,784,000","1,827,917,000","1,845,578,000","1,618,313,000","1,405,297,000","995,117,000","669,326,000","857,765,000","749,527,000","595,434,000","422,700,000","311,094,000","186,100,000","58,775,000","11,238,000"
TotalDebt,"1,048,368,000","1,224,192,000","1,223,661,000","1,550,344,000","1,767,426,000","296,776,000","300,339,000","309,389,000","333,675,000","343,933,000","195,726,000","63,942,000","57,851,000","68,566,000","71,213,000","100,000,000",,,,,,,,,,,"50,000,000","50,000,000"
NetDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,333,000","48,055,000"
ShareIssued,"103,300,000","103,300,000","103,300,000","103,300,000","103,300,000","103,300,361","103,300,273","103,300,163","103,300,000","103,300,000","103,300,000","103,300,000","103,300,000","103,300,000","103,300,000","102,712,385","86,158,884","88,300,055","87,726,211","86,037,057","94,607,499","97,268,877","98,873,000","99,083,000","102,030,000","102,814,000","102,018,000","102,100,000"
OrdinarySharesNumber,"50,500,000","49,002,000","52,985,000","62,399,000","62,786,000","66,227,361","68,195,273","67,758,163","67,348,000","69,352,000","76,402,000","78,445,000","85,638,000","87,246,000","87,985,519","87,048,000","86,158,884","88,300,055","87,726,211","86,037,057","94,607,499","97,268,877","98,873,000","99,083,000","102,030,000","102,814,000","102,018,000","102,100,000"
TreasurySharesNumber,"52,800,000","54,298,000","50,315,000","40,901,000","40,514,000","37,073,000","35,105,000","35,542,000","35,952,000","33,948,000","26,898,000","24,855,000","17,662,000","16,054,000","15,314,481","15,664,385",,,,,,,,,,,,
