name,04/30/2024,04/30/2023,04/30/2022,04/30/2021,04/30/2020,04/30/2019,04/30/2018,04/30/2017,04/30/2016,04/30/2015,04/30/2014,04/30/2013,04/30/2012,04/30/2011,04/30/2010,04/30/2009,04/30/2008,04/30/2007,04/30/2006,04/30/2005,04/30/2004,04/30/2003,04/30/2002,12/31/2000,12/31/1999
			TaxesReceivable,"2,495,000","1,176,000","1,945,000","909,000","1,595,000","2,464,000","4,582,000","10,643,000","2,064,000","0","4,627,000","3,093,000","0","4,513,000","5,170,000","0",,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,,,,,"1,817,509","2,098,087","66,077","3,701","160,596","175,331","211,803",,
		Inventory,"160,500,000","177,118,000","136,660,000","78,477,000","103,741,000","163,770,000","153,353,000","131,682,000","77,789,000","76,895,000","86,742,000","62,998,000","55,296,000","51,720,000","50,725,000","41,729,000","47,159,978","32,022,293","19,101,507","19,892,581","15,986,705","15,599,305","19,354,781",,
			RawMaterials,"12,848,000","11,132,000","10,709,000","7,293,000","6,935,000","11,766,000","12,141,000","10,046,000","9,148,000","6,894,000","5,467,000","3,972,000","4,454,000","9,375,000","7,680,000","4,496,000","5,152,470","3,858,070","1,445,527","1,544,378","709,626","913,268","1,032,174",,
			WorkInProcess,"8,033,000","6,821,000","5,304,000","7,918,000","6,787,000","7,576,000","7,657,000","9,379,000","9,263,000","7,492,000","7,643,000","7,852,000","7,889,000","8,091,000","22,422,000","6,793,000","6,979,072","5,499,478","2,611,067","1,917,912","1,897,614","1,897,668","1,654,719",,
			FinishedGoods,"139,619,000","159,165,000","120,647,000","63,266,000","90,019,000","144,428,000","133,555,000","112,257,000","59,378,000","62,509,000","73,632,000","51,174,000","42,953,000","34,254,000","20,623,000","30,440,000","35,028,436","22,664,745","15,044,913","16,430,291","13,379,465","12,788,369","16,667,888",,
		PrepaidAssets,,,"5,569,000","8,408,000","7,556,000","6,528,000","6,893,000","6,123,000","4,307,000","6,306,000","5,958,000","4,824,000","4,139,000",,,,,,,,,,,,
		RestrictedCash,,,,,,,,,,,,"3,345,000","3,334,000","5,821,000",,,,,,,,,,,
		CurrentDeferredAssets,,,,,"2,396,000","0",,,"0","16,373,000","17,094,000","12,076,000","12,759,000","14,121,000","11,249,000","12,505,000","9,947,234","7,917,393","3,346,684","6,119,561","3,900,480","3,932,081",,,
			CurrentDeferredTaxesAssets,,,,,"2,396,000","0",,,"0","16,373,000","17,094,000","12,076,000","12,759,000","14,121,000","11,249,000","12,505,000","9,947,234","7,917,393","3,346,684","6,119,561","3,900,480","3,932,081",,,
		AssetsHeldForSaleCurrent,,,,"0","94,673,000",,,,,,,"0","13,490,000","0",,,,,,,,,,,
		OtherCurrentAssets,"4,973,000","4,917,000","5,569,000","8,408,000","7,556,000","6,528,000","6,893,000","6,123,000","4,307,000","6,306,000","5,958,000","4,824,000","4,139,000","10,212,000","4,095,000","3,093,000","4,724,973","4,154,595","2,567,564","2,388,286","1,984,343","8,097,862","1,447,143","15,184",
	TotalNonCurrentAssets,"290,118,000","249,374,000","169,879,000","178,135,000","336,060,000","468,105,000","474,696,000","469,595,000","286,272,000","293,849,000","142,332,000","97,423,000","70,960,000","77,886,000","164,498,000","64,850,000","167,579,086","165,994,495","41,534,347","31,133,029","55,958,588","50,056,821","42,316,040","444,290","21,212"
		NetPPE,"252,633,000","210,330,000","135,591,000","141,612,000","147,739,000","183,268,000","159,125,000","149,685,000","135,405,000","133,844,000","120,440,000","86,382,000","60,528,000","62,390,000","58,718,000","51,135,000","50,642,953","44,424,299","28,181,864","16,726,361","11,021,174","7,135,073","4,199,207","34,232","21,212"
			GrossPPE,"605,248,000","544,713,000","441,941,000","419,474,000","397,360,000","411,574,000","357,670,000","320,223,000","277,542,000","250,507,000","213,578,000","162,367,000","121,380,000","113,852,000","98,591,000","81,491,000","72,429,478","59,070,035","37,499,064","22,217,227","13,935,124","8,402,512","4,565,680","34,232","21,212"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,
				LandAndImprovements,"3,109,000","2,945,000","2,817,000","2,817,000","3,787,000","3,787,000","3,845,000","3,573,000","3,235,000","3,214,000","2,150,000","1,440,000","1,362,000","2,348,000","1,315,000","923,000","905,703","905,703","283,727","258,087","258,087","258,263","116,820",,
				BuildingsAndImprovements,"154,507,000","40,131,000","38,552,000","36,525,000","34,132,000","34,584,000","29,908,000","28,110,000","23,388,000","19,946,000","12,187,000","10,795,000","7,453,000","9,737,000","7,042,000","6,255,000","5,756,880","4,421,769","1,941,494","1,442,468","842,995","604,198","328,462",,
