name,ttm,03/31/2024,03/31/2023,03/31/2022,03/31/2021,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006
		CapitalExpenditureReported,,,,,,,,"-25,809,000,000","-12,220,000,000","-5,438,000,000","-4,770,000,000","-3,285,000,000","-1,046,000,000","-749,000,000",,,,,,
		NetPPEPurchaseAndSale,,"-31,714,000,000","-33,686,000,000","-53,309,000,000","-41,450,000,000","-32,550,000,000","-35,482,000,000","-19,628,000,000","-11,006,000,000","-5,407,000,000","-2,935,000,000","-1,491,000,000","-1,156,000,000","-1,418,000,000","-157,510,000","-287,555,000","-408,007,000","2,153,000","342,000","-96,420,000"
			PurchaseOfPPE,,"-32,087,000,000","-34,330,000,000","-53,309,000,000","-41,450,000,000","-32,550,000,000","-35,482,000,000","-19,628,000,000","-11,006,000,000","-5,407,000,000","-2,935,000,000","-1,491,000,000","-1,457,000,000","-1,419,000,000","-160,180,000","-288,089,000","-410,744,000",,"-139,812,000","-96,690,000"
			SaleOfPPE,,"373,000,000","644,000,000","0","0",,,,,,"0","0","301,000,000","1,000,000","2,670,000","534,000","2,737,000","2,153,000","342,000","270,000"
		NetIntangiblesPurchaseAndSale,,"-842,000,000","-22,000,000","-15,000,000","-1,366,000,000","-188,000,000","-14,161,000,000","-10,208,000,000","-6,540,000,000",,,,,,"-11,890,000","-6,390,000","0","-275,680,000","-139,812,000",
			PurchaseOfIntangibles,,"-842,000,000","-22,000,000","-15,000,000","-1,735,000,000","-12,836,000,000","-14,161,000,000","-10,208,000,000","-6,540,000,000",,,,,,"-11,890,000","-6,390,000","0","-275,680,000","-139,812,000",
			SaleOfIntangibles,,,"0","0","369,000,000","12,648,000,000","0","0",,,,,,,,,,,,
		NetBusinessPurchaseAndSale,,"-5,030,000,000","-5,761,000,000","-13,481,000,000","-28,106,000,000","-39,053,000,000","-47,022,000,000","-48,099,000,000","-67,686,000,000","-24,209,000,000","-34,857,000,000","-17,157,000,000","214,000,000","-898,000,000","9,053,000","-261,156,000","-414,804,000","0","0",
			PurchaseOfBusiness,,"-5,729,000,000","-5,761,000,000","-13,481,000,000","-37,924,000,000","-39,131,000,000","-47,304,000,000","-54,284,000,000","-72,877,000,000","-39,120,000,000","-34,956,000,000","-17,246,000,000","-504,000,000","-972,000,000","2,283,000","-261,156,000","-414,804,000","0","0",
			SaleOfBusiness,,"699,000,000","22,739,000,000","15,479,000,000","9,818,000,000","78,000,000","282,000,000","6,185,000,000","5,191,000,000","14,911,000,000","99,000,000","89,000,000","718,000,000","74,000,000","6,770,000","0",,,,
		NetInvestmentPurchaseAndSale,,"14,418,000,000","-96,678,000,000","-132,267,000,000","-173,143,000,000","-36,053,000,000","-54,387,000,000","-5,379,000,000","5,906,000,000","-8,558,000,000","-11,991,000,000","-11,051,000,000","2,543,000,000","5,353,000,000","-1,592,035,000","-2,323,061,000","-575,639,000","-2,970,991,000","98,618,000","-714,000,000"
