name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,08/31/1992,08/31/1991,08/31/1990,08/31/1989,08/31/1988,08/31/1987,08/31/1986,08/31/1985
			RawMaterials,"457,877,000","600,601,000","833,992,000","356,921,000","256,850,000","284,467,000","233,187,000","155,044,000","144,397,000","111,366,000","84,279,000","78,434,000","77,066,000","59,204,000","46,917,000","80,187,000","60,606,000","65,695,000","81,221,000","59,404,000","28,708,000","28,054,000","17,818,000",,,,,,,,,,,,,,,,,
			WorkInProcess,"45,112,000","44,850,000","48,250,000","24,189,000","23,653,000","12,291,000","10,408,000","7,509,000","4,932,000","2,624,000","3,038,000","2,074,000","3,224,000","1,683,000","1,576,000","2,946,000","2,975,000","3,868,000","3,256,000","2,112,000","1,165,000","1,408,000","1,449,000",,,,,,,,,,,,,,,,,
			FinishedGoods,"265,418,000","384,254,000","213,665,000","112,789,000","113,104,000","43,857,000","31,153,000","26,190,000","21,505,000","18,502,000","13,894,000","16,859,000","11,762,000","8,441,000","9,264,000","10,801,000","12,698,000","13,513,000","16,140,000","10,816,000","7,438,000","7,681,000","6,259,000",,,,,,,,,,,,,,,,,
		PrepaidAssets,,,"88,300,000","55,456,000","41,849,000","49,296,000","34,125,000","35,107,000","21,178,000","18,444,000","14,467,000","14,798,000","6,187,000","16,768,000","13,793,000","16,556,000","12,702,000","13,351,000","11,812,000","10,552,000","7,478,000","8,618,000","4,219,000",,,,,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,"22,616,000","18,709,000","12,557,000","10,073,000","10,125,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
			CurrentDeferredTaxesAssets,,,,,,,,,"22,616,000","18,709,000","12,557,000","10,073,000","10,125,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,"67,599,000","99,310,000","88,300,000","55,456,000","41,849,000","49,296,000","34,125,000","35,107,000","21,178,000","18,444,000","14,467,000","14,798,000","6,187,000",,,,,,,,,"1,211,000","3,216,000","3,476,000","4,400,000","6,000,000","6,600,000","2,600,000","1,500,000","2,000,000","2,700,000","2,300,000","800,000","1,100,000","10,100,000","11,400,000","10,100,000","9,400,000","10,600,000","1,300,000"
	TotalNonCurrentAssets,"1,842,449,000","1,856,136,000","1,721,209,000","1,428,230,000","1,191,804,000","717,242,000","528,779,000","419,510,000","377,030,000","336,205,000","227,654,000","219,845,000","213,515,000","163,916,000","138,614,000","184,263,000","184,803,000","190,236,000","156,331,000","126,646,000","91,690,000","85,139,000","112,330,000","108,118,000","101,800,000","96,700,000","84,000,000","23,600,000","7,500,000","6,000,000","22,200,000","16,300,000","15,200,000","13,800,000","12,800,000","22,200,000","21,400,000","24,900,000","17,500,000","20,100,000"
		NetPPE,"711,169,000","729,192,000","591,073,000","491,397,000","465,083,000","322,876,000","228,950,000","172,748,000","150,600,000","146,788,000","125,982,000","107,936,000","95,050,000","79,848,000","80,276,000","88,731,000","100,616,000","124,558,000","116,828,000","99,781,000","72,211,000","74,041,000","69,651,000","66,301,000","51,000,000","43,100,000","38,100,000","10,900,000","5,600,000","4,300,000","13,200,000","6,900,000","6,200,000","5,300,000","5,600,000","8,600,000","8,800,000","10,700,000","8,200,000","9,700,000"
			GrossPPE,"1,228,936,000","1,192,262,000","1,007,080,000","854,317,000","777,141,000","559,234,000","424,056,000","337,362,000","291,776,000","272,177,000","241,616,000","211,089,000","189,084,000","166,125,000","162,329,000","163,301,000","165,780,000","184,592,000","167,053,000","143,533,000","109,487,000","104,929,000","94,164,000","88,642,000","67,800,000","55,000,000","46,800,000","17,600,000","11,300,000","9,400,000","23,800,000","16,600,000","15,600,000","14,100,000","13,300,000","16,200,000","14,900,000","15,300,000","11,300,000","13,300,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,
				LandAndImprovements,"20,669,000","20,627,000","20,494,000","23,063,000","23,868,000","22,962,000","19,176,000","13,802,000","11,064,000","10,792,000","12,018,000","10,445,000","10,855,000","9,967,000","9,917,000","8,323,000","10,488,000","14,860,000","14,608,000","12,362,000","6,897,000","6,883,000","8,545,000",,,,,,,,,,,,,,,,,
				BuildingsAndImprovements,"244,742,000","222,598,000","212,882,000","197,291,000","185,744,000","159,805,000","118,555,000","106,831,000","89,616,000","85,002,000","76,577,000","69,805,000","70,108,000","64,611,000","65,574,000","63,508,000","69,653,000","79,728,000","77,036,000","61,861,000","54,329,000","53,360,000","50,030,000",,,,,,,,,,,,,,,,,
				MachineryFurnitureEquipment,"642,763,000","585,247,000","544,075,000","464,045,000","397,455,000","303,888,000","240,128,000","194,744,000","174,437,000","158,754,000","148,206,000","123,320,000","102,761,000","89,645,000","85,210,000","88,994,000","85,384,000","85,284,000","71,689,000","55,297,000","46,501,000","43,645,000","35,514,000",,,,,,,,,,,,,,,,,
				OtherProperties,"245,388,000","247,007,000","164,618,000","104,179,000","98,774,000",,,,,,,,,,,,,,,,"1,616,000",,,,,,,,,,,,,,,,,,,
				ConstructionInProgress,"42,181,000","84,210,000","35,035,000","38,133,000","48,288,000","56,447,000","33,490,000","10,067,000","5,512,000","9,515,000","2,771,000","6,190,000","4,217,000","647,000","464,000","1,294,000","255,000","4,720,000","3,720,000","14,013,000","144,000","1,041,000","75,000",,,,,,,,,,,,,,,,,
				Leases,"33,193,000","32,573,000","29,976,000","27,606,000","23,012,000","16,132,000","12,707,000","11,918,000","11,147,000","8,114,000","2,044,000","1,329,000","1,143,000","1,255,000","1,164,000","1,182,000",,,,,,,,,,,,,,,,,,,,,,,,
			AccumulatedDepreciation,"-517,767,000","-463,070,000","-416,007,000","-362,920,000","-312,058,000","-236,358,000","-195,106,000","-164,614,000","-141,176,000","-125,389,000","-115,634,000","-103,153,000","-94,034,000","-86,277,000","-82,053,000","-74,570,000","-65,164,000","-60,034,000","-50,225,000","-43,752,000","-37,276,000","-30,888,000","-24,513,000","-22,341,000","-16,800,000","-11,900,000","-8,700,000","-6,700,000","-5,700,000","-5,100,000","-10,600,000","-9,700,000","-9,400,000","-8,800,000","-7,700,000","-7,600,000","-6,100,000","-4,600,000","-3,100,000","-3,600,000"
		GoodwillAndOtherIntangibleAssets,"1,038,309,000","1,070,383,000","1,063,137,000","875,613,000","692,540,000","356,510,000","254,315,000","202,141,000","184,554,000","163,480,000","80,937,000","90,395,000","99,558,000","64,916,000","39,171,000","86,900,000","72,125,000","59,145,000","32,770,000","22,825,000","17,286,000","7,857,000","39,376,000","37,240,000","46,100,000","47,900,000","44,200,000","11,600,000","300,000","200,000","5,600,000","5,800,000","5,900,000","6,100,000","6,300,000","11,800,000","11,000,000","11,600,000","7,500,000","8,100,000"
			Goodwill,"589,550,000","567,063,000","543,180,000","454,728,000","351,114,000","180,168,000","124,183,000","89,198,000","83,619,000","66,521,000","21,545,000","21,177,000","20,499,000","7,497,000","0","44,113,000","39,547,000","34,344,000","22,118,000",,,,"38,303,000",,,,,,,,,,,,,,,,,
