Date,Open,High,Low,Close,Adj Close,Volume
2010-06-09,2.871800,2.939400,2.851600,2.867400,2.867400,34175000
2010-06-10,2.919800,2.930000,2.849600,2.922800,2.922800,32150000
2010-06-11,2.897600,2.990000,2.880400,2.989600,2.989600,37655000
2010-06-14,3.032600,3.074000,2.967000,2.975400,2.975400,39365000
2010-06-15,3.014800,3.085000,2.975200,3.058400,3.058400,43630000
2010-06-16,3.065600,3.108400,3.040000,3.050400,3.050400,30930000
2010-06-17,3.076800,3.079800,2.992000,3.037000,3.037000,32910000
2010-06-18,3.062800,3.069000,3.014600,3.054800,3.054800,24720000
2010-06-21,3.090000,3.100000,3.008000,3.031800,3.031800,28995000
2010-06-22,3.044000,3.056800,2.900000,2.903000,2.903000,38770000
2010-06-23,2.888800,2.974200,2.886200,2.946000,2.946000,38960000
2010-06-24,2.953400,2.953400,2.886400,2.895200,2.895200,28045000
2010-06-25,2.910600,2.977800,2.859000,2.936800,2.936800,29670000
2010-06-28,2.942400,2.973400,2.915000,2.919200,2.919200,16445000
2010-06-29,2.880000,2.880000,2.747400,2.768800,2.768800,47305000
2010-06-30,2.770000,2.826000,2.731400,2.736200,2.736200,31130000
2010-07-01,2.723000,2.791800,2.672000,2.773400,2.773400,43465000
2010-07-02,2.773000,2.810600,2.728000,2.744800,2.744800,18130000
2010-07-06,2.776000,2.842600,2.691200,2.705200,2.705200,32050000
2010-07-07,2.716400,2.772000,2.668000,2.769000,2.769000,45340000
2010-07-08,2.791000,2.824600,2.750000,2.791400,2.791400,29955000
2010-07-09,2.799600,2.826000,2.774000,2.808200,2.808200,22780000
2010-07-12,2.788400,2.823000,2.746400,2.798600,2.798600,19825000
2010-07-13,2.807000,2.878800,2.806000,2.855200,2.855200,29825000
2010-07-14,2.852400,2.899400,2.833800,2.874400,2.874400,24110000
2010-07-15,2.883400,2.883400,2.797600,2.849200,2.849200,24150000
2010-07-16,2.838200,2.844200,2.732400,2.736400,2.736400,51620000
2010-07-19,2.723400,2.755800,2.570600,2.604800,2.604800,78565000
2010-07-20,2.569000,2.686000,2.546000,2.679400,2.679400,59080000
2010-07-21,2.715000,2.715000,2.589600,2.592000,2.592000,47110000
2010-07-22,2.629800,2.670600,2.608600,2.663200,2.663200,60120000
