name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007
	CurrentLiabilities,"28,748,000,000","26,709,000,000","19,705,000,000","14,248,000,000","10,667,000,000","9,993,000,000","7,674,670,000","5,827,005,000","2,811,035,000","2,107,166,000","675,160,000","539,108,000","191,339,000","85,565,000","57,489,000","87,935,000","51,296,000"
		PayablesAndAccruedExpenses,"19,681,000,000","20,263,000,000","14,098,000,000","8,460,000,000","6,233,000,000","4,875,000,000","3,908,823,000","2,933,846,000","1,338,946,000","1,046,829,000","410,089,000","343,180,000","88,250,000","43,380,000","27,426,000","25,329,000","13,881,000"
			Payables,"15,635,000,000","16,490,000,000","11,147,000,000","6,828,000,000","4,382,000,000","3,753,000,000","2,576,057,000","2,013,238,000","1,017,354,000","849,175,000","342,036,000","313,092,000","57,108,000","31,637,000","15,538,000","14,184,000","5,369,000"
				AccountsPayable,"14,431,000,000","15,255,000,000","10,025,000,000","6,051,000,000","3,771,000,000","3,405,000,000","2,390,250,000","1,860,341,000","916,148,000","777,946,000","303,969,000","303,382,000","56,141,000","28,951,000","15,086,000","14,184,000","5,369,000"
				TotalTaxPayable,"1,204,000,000","1,235,000,000","1,122,000,000","777,000,000","611,000,000","348,000,000","185,807,000","152,897,000","101,206,000","71,229,000","38,067,000","9,710,000","967,000","2,686,000","452,000",,
			CurrentAccruedExpenses,"4,046,000,000","3,773,000,000","2,951,000,000","1,632,000,000","1,851,000,000","1,122,000,000","1,332,766,000","920,608,000","321,592,000","197,654,000","68,053,000","30,088,000","31,142,000","11,743,000","11,888,000","11,145,000","8,512,000"
				InterestPayable,,,"16,000,000","77,000,000","86,000,000","78,000,000","75,572,000",,,"7,222,000","741,000",,,,,,
		CurrentProvisions,"1,765,000,000","1,295,000,000","968,000,000","896,000,000","272,000,000","108,000,000",,,,"3,573,000","2,132,000",,,"30,755,000","26,048,000",,
		PensionandOtherPostRetirementBenefitPlansCurrent,,,,,,,,,,,,,"8,905,000","6,516,000","2,192,000",,
		CurrentDebtAndCapitalLeaseObligation,"3,045,000,000","1,987,000,000","1,957,000,000","2,418,000,000","2,013,000,000","2,712,000,000","978,777,000","1,202,178,000","627,927,000","611,099,000","7,904,000","55,206,000","8,983,000","279,000","290,000","341,000","80,000"
