name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997
		CurrentDeferredAssets,,,,,,,,,,"311,000,000","252,000,000","280,000,000","282,000,000","246,000,000","255,000,000","186,000,000","185,000,000","200,000,000","220,000,000","162,000,000","215,000,000",,,,,,
			CurrentDeferredTaxesAssets,,,,,,,,,,"311,000,000","252,000,000","280,000,000","282,000,000","246,000,000","255,000,000","186,000,000","185,000,000","200,000,000","220,000,000","162,000,000","215,000,000",,,,,,
		AssetsHeldForSaleCurrent,,,,"8,000,000","255,000,000","8,000,000","149,000,000","588,000,000","78,000,000","233,000,000","350,000,000","0",,,,,,,,,,,,,,,
		OtherCurrentAssets,"261,000,000","235,000,000","251,000,000","180,000,000","252,000,000","249,000,000","235,000,000","230,000,000","107,000,000","173,000,000","94,000,000","79,000,000",,"123,000,000","131,000,000","207,000,000","350,000,000","682,000,000","802,000,000","217,000,000","175,000,000","753,000,000","383,000,000","256,000,000","278,000,000","263,000,000","66,000,000"
	TotalNonCurrentAssets,"22,363,000,000","21,502,000,000","21,927,000,000","21,876,000,000","21,924,000,000","20,990,000,000","21,106,000,000","20,769,000,000","4,698,000,000","5,223,000,000","4,891,000,000","4,867,000,000","4,586,000,000","5,601,000,000","5,082,000,000","5,497,000,000","5,370,000,000","5,269,000,000","5,140,000,000","6,722,000,000","6,830,000,000","6,523,000,000","6,977,000,000","6,822,000,000","5,724,000,000","4,900,000,000","4,190,000,000"
		NetPPE,"2,510,000,000","2,572,000,000","2,565,000,000","2,266,000,000","2,792,000,000","1,956,000,000","1,793,000,000","2,335,000,000","1,029,000,000","1,460,000,000","1,543,000,000","1,539,000,000","1,168,000,000","1,307,000,000","1,362,000,000","1,443,000,000","1,329,000,000","1,233,000,000","1,134,000,000","2,389,000,000","2,513,000,000","2,560,000,000","2,930,000,000","3,241,000,000","2,845,000,000","2,275,000,000","1,537,000,000"
			GrossPPE,"3,400,000,000","3,446,000,000","3,415,000,000","3,154,000,000","4,093,000,000","3,473,000,000","2,890,000,000","3,320,000,000","1,926,000,000","2,378,000,000","2,448,000,000","2,530,000,000","2,095,000,000","2,556,000,000","2,548,000,000","2,519,000,000","2,348,000,000","2,092,000,000","1,919,000,000","3,070,000,000","3,070,000,000","3,030,000,000","3,489,000,000","3,747,000,000","3,272,000,000","2,639,000,000","1,537,000,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,
				LandAndImprovements,"669,000,000","688,000,000","686,000,000","688,000,000","684,000,000","591,000,000","601,000,000","654,000,000","299,000,000","457,000,000","535,000,000","590,000,000","454,000,000","514,000,000","454,000,000","469,000,000","399,000,000","316,000,000","301,000,000","1,557,000,000","1,710,000,000","386,000,000","505,000,000",,,,
				BuildingsAndImprovements,"1,108,000,000","1,086,000,000","985,000,000","1,045,000,000","1,100,000,000","1,275,000,000","1,052,000,000","1,352,000,000","729,000,000","781,000,000","786,000,000","703,000,000","667,000,000","854,000,000","935,000,000","852,000,000","833,000,000","724,000,000","659,000,000","642,000,000","606,000,000","547,000,000","860,000,000",,,,
				MachineryFurnitureEquipment,"622,000,000","649,000,000","545,000,000","640,000,000","1,225,000,000","1,439,000,000","1,121,000,000","1,159,000,000","768,000,000","775,000,000","789,000,000","854,000,000","810,000,000","984,000,000","996,000,000","954,000,000","900,000,000","837,000,000","827,000,000","771,000,000","680,000,000","676,000,000","620,000,000",,,,
				OtherProperties,"929,000,000","987,000,000","1,062,000,000","752,000,000","888,000,000",,,,,,,,,,,,,,,,,"1,270,000,000","1,167,000,000",,,,
				ConstructionInProgress,"72,000,000","36,000,000","137,000,000","29,000,000","196,000,000","168,000,000","116,000,000","155,000,000","130,000,000","365,000,000","338,000,000","383,000,000","164,000,000","204,000,000","163,000,000","244,000,000","216,000,000","215,000,000","132,000,000","100,000,000","74,000,000","180,000,000","337,000,000",,,,
			AccumulatedDepreciation,"-890,000,000","-874,000,000","-850,000,000","-888,000,000","-1,301,000,000","-1,517,000,000","-1,097,000,000","-985,000,000","-897,000,000","-918,000,000","-905,000,000","-991,000,000","-927,000,000","-1,249,000,000","-1,186,000,000","-1,076,000,000","-1,019,000,000","-859,000,000","-785,000,000","-681,000,000","-557,000,000","-470,000,000","-559,000,000","-506,000,000","-427,000,000","-364,000,000",
		GoodwillAndOtherIntangibleAssets,"18,076,000,000","17,619,000,000","17,999,000,000","18,164,000,000","17,689,000,000","17,419,000,000","17,751,000,000","16,868,000,000","2,394,000,000","2,245,000,000","2,005,000,000","1,989,000,000","1,721,000,000","1,643,000,000","1,606,000,000","1,585,000,000","1,556,000,000","1,496,000,000","1,390,000,000","1,436,000,000","1,449,000,000","1,418,000,000","1,764,000,000","1,833,000,000","1,820,000,000","1,712,000,000","1,448,000,000"
			Goodwill,"8,886,000,000","8,872,000,000","9,073,000,000","9,175,000,000","9,048,000,000","9,039,000,000","9,207,000,000","7,598,000,000","943,000,000","894,000,000","874,000,000","874,000,000","875,000,000","875,000,000","875,000,000","875,000,000","921,000,000","921,000,000","924,000,000",,,,,,,,
			OtherIntangibleAssets,"9,190,000,000","8,747,000,000","8,926,000,000","8,989,000,000","8,641,000,000","8,380,000,000","8,544,000,000","9,270,000,000","1,451,000,000","1,351,000,000","1,131,000,000","1,115,000,000","846,000,000","768,000,000","731,000,000","710,000,000","635,000,000","575,000,000","466,000,000","1,436,000,000","1,449,000,000","1,418,000,000","1,764,000,000","1,833,000,000","1,820,000,000","1,712,000,000",
		InvestmentsAndAdvances,"308,000,000","335,000,000","387,000,000","422,000,000","577,000,000","732,000,000","734,000,000","728,000,000","165,000,000","224,000,000","222,000,000","216,000,000","265,000,000","250,000,000","249,000,000","346,000,000",,,,,,,,,,,"530,000,000"
			LongTermEquityInvestment,"308,000,000","335,000,000","387,000,000",,,,,,,,,,,,,,,,,,,,,,,,
			InvestmentinFinancialAssets,,,,,,,,,,,,"216,000,000","265,000,000",,,,,,,,,,,,,,
		NonCurrentNoteReceivables,"138,000,000","152,000,000","144,000,000","159,000,000","117,000,000","125,000,000","142,000,000","245,000,000","215,000,000","215,000,000","142,000,000","180,000,000","298,000,000","1,264,000,000","452,000,000","830,000,000",,,,,,,,,,,
		NonCurrentDeferredAssets,"673,000,000","240,000,000","228,000,000","249,000,000","154,000,000","171,000,000","93,000,000","116,000,000","672,000,000","819,000,000","647,000,000","676,000,000","873,000,000","932,000,000","1,020,000,000","727,000,000","678,000,000","665,000,000","545,000,000","397,000,000","251,000,000",,,,,,
