name,ttm,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013,01/31/2012,01/31/2011,01/31/2010,01/31/2009,01/31/2008,01/31/2007,01/31/2006,01/31/2005,01/31/2004,01/31/2003,01/31/2002,01/31/2001,01/31/2000,01/31/1999,01/31/1998,01/31/1997,01/31/1996,01/31/1995,01/31/1994,01/31/1993,01/31/1992,01/31/1991
			ChangeInInventory,"53,041,000","209,168,000","-208,908,000","-239,981,000","99,144,000","24,219,000","-70,331,000","-80,235,000","4,493,000","-92,647,000","-76,964,000","-174,664,000","-85,981,000","-34,853,000","-46,464,000","108,332,000","118,679,000","-81,469,000","-90,598,000","-67,474,000","-48,017,000","-82,196,000","-71,850,000","33,793,000","-25,743,000","-86,854,000","-40,700,000","-21,700,000","10,900,000","-33,700,000","-18,500,000","-7,200,000","-2,900,000","-9,200,000","-12,300,000"
			ChangeInPrepaidAssets,"-59,016,000","1,016,000","-11,823,000","-2,060,000","-16,388,000","-3,189,000","-54,691,000","-16,494,000","-1,073,000","-4,223,000","-447,000","-9,974,000","-15,141,000","494,000","-5,777,000","26,996,000","9,905,000","-3,459,000","-286,000","8,627,000","-34,758,000","-18,463,000","-10,972,000","-4,511,000",,,,,,,,,,,
			ChangeInPayablesAndAccruedExpense,"-71,638,000","139,327,000","-193,747,000","116,291,000","201,564,000","2,943,000","73,145,000","45,687,000","-19,815,000","94,920,000","-3,712,000","186,208,000","50,960,000","-56,746,000","48,952,000","119,571,000","-136,899,000","-33,298,000","11,981,000","14,365,000","17,773,000","-11,358,000","66,818,000","-60,164,000","56,785,000","31,498,000","12,500,000","-5,900,000","7,900,000","8,400,000","14,300,000","-400,000","-2,700,000","-300,000","-3,500,000"
				ChangeInPayable,"-89,604,000","134,392,000","-131,752,000","66,831,000","72,422,000","-10,316,000","27,169,000","36,090,000","-39,527,000","95,055,000","-12,579,000","142,573,000","41,813,000","-40,716,000","29,638,000","77,487,000","-112,538,000","-39,243,000",,,,,,,,,,,,,,,,,
					ChangeInTaxPayable,"-74,190,000","35,349,000","-18,231,000","10,157,000","46,933,000","735,000","-35,208,000","33,541,000","-43,803,000","34,548,000","-17,034,000","7,478,000","19,352,000","-19,562,000","-6,308,000","48,285,000","-85,006,000","-9,175,000",,,,,,,,,,,,,,,,,
						ChangeInIncomeTaxPayable,"-74,190,000","35,349,000","-18,231,000","10,157,000","46,933,000","735,000","-35,208,000","33,541,000","-43,803,000","34,548,000","-17,034,000","7,478,000","19,352,000","-19,562,000","-6,308,000","48,285,000","-85,006,000","-9,175,000",,,,,,,,,,,,,,,,,
					ChangeInAccountPayable,"-15,414,000","99,043,000","-113,521,000","56,674,000","25,489,000","-11,051,000","62,377,000","2,549,000","4,276,000","60,507,000","4,455,000","135,095,000","22,461,000","-21,154,000","35,946,000","29,202,000","-27,532,000","-30,068,000",,,,,,,,,,,,,,,,,
				ChangeInAccruedExpense,"17,966,000","4,935,000","-61,995,000","49,460,000","129,142,000","13,259,000","45,976,000","9,597,000","19,712,000","-135,000","8,867,000","43,635,000","9,147,000","-16,030,000","19,314,000","42,084,000","-24,361,000","5,945,000",,,,,,,,,,,,,,,,,
			ChangeInOtherCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,"-15,749,000","-7,494,000","-600,000","-1,000,000","1,500,000","-5,100,000","-8,700,000","-1,100,000","-900,000","900,000","-1,600,000"
			ChangeInOtherCurrentLiabilities,"-265,804,000","-269,162,000","-242,855,000","-224,567,000","-232,989,000","-226,257,000","0","0",,,,,,,"-3,112,000","2,353,000","-8,644,000","13,458,000","76,011,000","79,086,000","91,765,000","64,780,000","107,506,000","76,465,000","66,484,000","56,754,000","24,000,000","32,800,000","45,200,000","22,100,000","3,500,000","14,100,000",,,
			ChangeInOtherWorkingCapital,"141,504,000","95,005,000","31,839,000","75,460,000","82,841,000","-640,000","63,828,000","25,224,000","37,579,000","67,211,000","57,697,000","34,816,000","35,765,000","5,328,000","-5,662,000","14,756,000","49,619,000","37,675,000",,,,,,,,,,,,,,,,,
InvestingCashFlow,"-166,547,000","-188,257,000","-353,955,000","-226,247,000","-168,884,000","-185,548,000","-187,899,000","-269,760,000","-196,975,000","-202,166,000","-188,600,000","-190,624,000","-206,815,000","-157,704,000","-63,995,000","-71,230,000","-144,039,000","-197,250,000","-189,287,000","-151,788,000","-181,453,000","-211,979,000","-155,450,000","-155,314,000","-233,380,000","-116,400,000","-76,700,000","-59,100,000","-46,000,000","-85,800,000","-30,100,000","-13,800,000","-14,800,000","-25,400,000","-14,700,000"
	CashFlowFromContinuingInvestingActivities,"-166,547,000","-188,257,000","-353,955,000","-226,247,000","-168,884,000","-185,548,000","-187,899,000","-269,760,000","-196,975,000","-202,166,000","-188,600,000","-190,624,000","-206,815,000","-157,704,000","-63,995,000","-71,230,000","-144,039,000","-197,250,000","-189,287,000","-151,788,000","-181,453,000","-211,979,000","-155,450,000","-155,314,000","-233,380,000","-116,400,000","-76,700,000","-59,100,000","-46,000,000","-85,800,000","-30,100,000","-13,800,000","-14,800,000","-25,400,000","-14,700,000"
		NetPPEPurchaseAndSale,"-166,524,000","-188,458,000","-354,117,000","-226,517,000","-169,513,000","-186,276,000","-190,102,000","-189,712,000","-197,414,000","-202,935,000","-204,800,000","-193,953,000","-205,404,000","-130,353,000","-61,906,000","-72,263,000","-191,789,000","-197,254,000","-190,980,000","-151,788,000","-181,453,000","-211,979,000","-155,450,000","-155,660,000","-233,418,000","-109,017,000","-76,700,000","-59,300,000","-47,600,000","-85,700,000","-30,100,000","-13,900,000","-15,100,000","-25,200,000","-14,700,000"
			PurchaseOfPPE,"-166,524,000","-188,458,000","-354,117,000","-226,517,000","-169,513,000","-186,276,000","-190,102,000","-189,712,000","-197,414,000","-202,935,000","-204,800,000","-193,953,000","-205,404,000","-130,353,000","-61,906,000","-72,263,000","-191,789,000","-212,024,000","-190,980,000","-151,788,000","-181,453,000","-211,979,000","-156,181,000","-155,987,000","-234,849,000","-120,209,000","-78,900,000","-59,300,000","-47,600,000","-86,500,000","-30,100,000","-14,000,000","-15,200,000","-25,200,000","-14,700,000"
			SaleOfPPE,,,,,,,,,,,,,,,,,"0","14,770,000",,,,,"731,000","327,000","1,431,000","11,192,000","2,200,000",,,"800,000",,"100,000","100,000",,
		NetBusinessPurchaseAndSale,,,,,,"0","0","-80,528,000","0","0",,"0","0","-25,363,000","0","0",,,,,,,,,,,,,,,,,,,
			PurchaseOfBusiness,,,,,,"0","0","-80,528,000","0","0",,"0","0","-25,363,000","0","0",,,,,,,,,,,,,,,,,,,
		NetInvestmentPurchaseAndSale,,,,,,,,,,,,,,,,,,"285,000","589,000",,,,,,,,,,,,,,"300,000",,
			SaleOfInvestment,,,,,,,,,,,,,,,,,,"285,000","589,000",,,,,,,,,,,,,,"300,000",,
		NetOtherInvestingChanges,"-23,000","201,000","162,000","270,000","629,000","728,000","2,203,000","480,000","439,000","769,000","16,200,000","3,329,000","-1,411,000","-1,988,000","-2,089,000","1,033,000","47,750,000","-281,000","1,104,000",,,,,"346,000","38,000","-7,383,000",,"200,000","1,600,000","-100,000",,"100,000",,"-200,000",
FinancingCashFlow,"-519,936,000","-598,307,000","-1,178,673,000","-1,491,985,000","-343,019,000","-327,226,000","-450,066,000","-51,707,000","-305,806,000","-369,383,000","-379,020,000","-355,376,000","-236,445,000","-259,039,000","-178,315,000","-55,498,000","-52,160,000","-208,482,000","-206,027,000","-75,808,000","-48,207,000","-28,226,000","-36,737,000","6,182,000","-21,062,000","-3,786,000","7,100,000","1,700,000","8,400,000","70,100,000","16,700,000","-5,800,000","9,800,000","16,000,000","20,600,000"
	CashFlowFromContinuingFinancingActivities,"-519,936,000","-598,307,000","-1,178,673,000","-1,491,985,000","-343,019,000","-327,226,000","-450,066,000","-51,707,000","-305,806,000","-369,383,000","-379,020,000","-355,376,000","-236,445,000","-259,039,000","-178,315,000","-55,498,000","-52,160,000","-208,482,000","-206,027,000","-75,808,000","-48,207,000","-28,226,000","-36,737,000","6,182,000","-21,062,000","-3,786,000","7,100,000","1,700,000","8,400,000","70,100,000","16,700,000","-5,800,000","9,800,000","16,000,000","20,600,000"
		NetIssuancePaymentsOfDebt,"0","0","0","-300,000,000","0","0","0","300,000,000","0","-1,968,000","-1,785,000","-1,724,000","-1,796,000","-1,626,000","-1,587,000","-14,702,000","-1,617,000","-2,703,000","-4,679,000","-9,235,000","5,211,000","-7,610,000","-7,378,000","-12,507,000","-5,983,000","-6,477,000","-600,000","-600,000","8,900,000","69,500,000","6,800,000","-9,000,000","6,200,000","9,700,000","-7,800,000"
			NetLongTermDebtIssuance,"0","0","0","-300,000,000","0","0","0","300,000,000","0","-1,968,000","-1,785,000","-1,724,000","-1,796,000","-1,626,000","-1,587,000","-14,702,000","-1,617,000","-2,703,000",,,,,,,,,,,,,,,,,
				LongTermDebtIssuance,,,,,,"0","0","300,000,000","0","0",,,,,,,,,,,,,,,,,,,,,,,,,
