name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993
		NetPPE,"7,237,534,000","6,536,308,000","6,195,993,000","6,090,045,000","5,876,572,000","3,587,002,000","3,343,806,000","3,123,431,000","2,861,556,000","2,658,560,000","2,425,103,000","2,211,590,000","2,093,767,000","1,930,095,000","1,726,379,000","1,449,893,000","1,090,160,000","883,095,000","718,366,000","567,493,000","449,058,000","353,601,000","289,004,000","246,854,000","236,500,000","171,000,000","108,400,000","79,800,000","52,000,000","27,500,000","17,000,000"
			GrossPPE,"10,512,921,000","9,550,332,000","8,930,516,000","8,555,038,000","8,119,796,000","5,645,552,000","5,191,135,000","4,832,342,000","4,372,250,000","3,993,509,000","3,606,837,000","3,269,570,000","3,026,996,000","2,705,434,000","2,353,240,000","1,939,532,000","1,479,779,000","1,214,854,000","992,899,000","791,794,000","626,142,000","491,523,000","392,365,000","323,021,000","292,800,000","210,300,000","137,500,000","101,200,000","68,400,000","40,900,000","28,200,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,
				LandAndImprovements,"989,575,000","931,993,000","888,558,000","860,797,000","805,556,000","745,050,000","695,669,000","648,689,000","590,244,000","527,471,000","457,858,000","420,292,000","462,790,000","392,600,000","331,456,000","281,814,000","220,950,000","127,068,000","109,327,000","82,781,000","58,571,000","52,362,000","48,096,000",,,,,,,,
				BuildingsAndImprovements,"3,121,562,000","2,896,071,000","2,737,212,000","2,574,969,000","2,378,074,000","2,147,969,000","1,968,079,000","1,805,347,000","1,603,389,000","1,418,479,000","1,197,369,000","1,078,265,000","1,012,709,000","921,929,000","766,446,000","638,976,000","690,695,000","634,743,000","496,681,000","278,752,000","292,931,000","217,801,000","166,706,000",,,,,,,,
				MachineryFurnitureEquipment,"2,738,888,000","2,418,576,000","2,202,792,000","2,019,621,000","1,898,383,000","1,775,229,000","1,642,820,000","1,575,291,000","1,421,528,000","1,332,720,000","1,212,433,000","1,164,021,000","1,112,942,000","960,427,000","803,374,000","684,415,000","531,882,000","453,043,000","386,891,000","322,117,000","274,640,000","221,360,000","177,563,000",,,,,,,,
				OtherProperties,"2,200,554,000","2,112,267,000","1,982,478,000","1,995,127,000","1,928,369,000",,,,,,,,,,,,,,,,,,,,,,,,,,
				ConstructionInProgress,"348,968,000","239,773,000","255,307,000","305,511,000","358,259,000","291,246,000","257,853,000","209,230,000","202,891,000","191,289,000","255,599,000","159,946,000","43,281,000","60,460,000","137,213,000","65,753,000","36,252,000",,,,,,,,,,,,,,
				Leases,"1,113,374,000","951,652,000","864,169,000","799,013,000","751,155,000","686,058,000","626,714,000","593,785,000","554,198,000","523,550,000","483,578,000","447,046,000","395,274,000","370,018,000","314,751,000","268,574,000",,,"127,685,000","108,144,000",,,,,,,,,,,
			AccumulatedDepreciation,"-3,275,387,000","-3,014,024,000","-2,734,523,000","-2,464,993,000","-2,243,224,000","-2,058,550,000","-1,847,329,000","-1,708,911,000","-1,510,694,000","-1,334,949,000","-1,181,734,000","-1,057,980,000","-933,229,000","-775,339,000","-626,861,000","-489,639,000","-389,619,000","-331,759,000","-274,533,000","-224,301,000","-177,084,000","-137,922,000","-103,361,000","-76,167,000","-56,300,000","-39,300,000","-29,100,000","-21,400,000","-16,400,000","-13,400,000","-11,200,000"
		GoodwillAndOtherIntangibleAssets,"947,466,000","930,664,000","879,340,000","881,030,000","936,814,000","807,260,000","789,058,000","785,399,000","757,142,000","756,384,000","756,225,000","758,410,000","743,907,000","743,975,000","744,313,000","720,508,000","50,447,000",,,,,,,,,,,,,,
			Goodwill,"897,696,000","884,445,000","879,340,000","881,030,000","936,814,000","807,260,000","789,058,000","785,399,000","757,142,000","756,384,000","756,225,000","758,410,000","743,907,000","743,975,000","744,313,000","720,508,000","50,447,000",,,,,,,,,,,,,,
			OtherIntangibleAssets,"49,770,000","46,219,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentNoteReceivables,,,,,,,,"0","13,219,000","13,349,000","13,066,000","5,347,000","10,889,000","18,047,000","12,481,000","21,548,000",,,"24,051,000","21,690,000",,,,,,,,,,,
		NonCurrentDeferredAssets,,,,,,,,,,,,,,,"0","28,767,000",,,,,,,,,,,,,,,
			NonCurrentDeferredTaxesAssets,,,,,,,,,,,,,,,"0","28,767,000",,,,,,,,,,,,,,,
		OtherNonCurrentAssets,"129,693,000","112,748,000","139,112,000","125,780,000","70,112,000","43,425,000","41,349,000","37,384,000","34,741,000","38,410,000","37,613,000","40,892,000","44,328,000","54,458,000","71,579,000","97,168,000","36,826,000","93,725,000","89,889,000","29,697,000","51,049,000","24,773,000","17,192,000","19,937,000","9,500,000","11,400,000","5,100,000","3,600,000","3,000,000","2,600,000","900,000"
TotalLiabilitiesNetMinorityInterest,"15,612,273,000","13,688,731,000","11,785,130,000","11,456,384,000","10,319,820,000","7,627,122,000","6,918,839,000","5,577,053,000","4,715,370,000","4,513,665,000","4,100,887,000","3,640,880,000","2,655,650,000","1,838,142,000","2,095,606,000","1,911,099,000","687,260,000","613,400,000","573,127,000","484,540,000","372,748,000","358,895,000","300,568,000","252,264,000","207,400,000","274,900,000","65,600,000","27,800,000","19,700,000","17,100,000","15,300,000"
	CurrentLiabilities,"7,661,353,000","7,063,817,000","5,874,615,000","5,262,417,000","4,469,427,000","3,894,020,000","3,647,366,000","3,400,649,000","3,046,398,000","2,813,298,000","2,423,010,000","2,272,865,000","1,580,010,000","1,228,958,000","1,219,143,000","1,053,501,000","528,976,000","433,784,000","485,667,000","333,815,000","215,309,000","147,422,000","121,136,000","152,932,000","115,000,000","102,500,000","40,400,000","25,700,000","18,200,000","15,800,000","14,000,000"
		PayablesAndAccruedExpenses,"6,412,332,000","6,174,478,000","5,037,772,000","4,533,047,000","3,804,077,000","3,563,018,000","3,336,484,000","3,082,827,000","2,740,979,000","2,558,555,000","2,163,303,000","2,037,581,000","1,373,271,000","1,050,022,000","968,654,000","846,136,000","417,918,000","352,523,000","327,020,000","276,034,000","171,782,000","119,792,000","88,779,000","68,947,000","64,900,000","66,700,000","29,700,000","17,300,000","13,000,000","10,300,000","10,500,000"
			Payables,"6,099,560,000","5,881,157,000","4,695,312,000","4,201,448,000","3,604,722,000","3,387,416,000","3,190,029,000","2,936,656,000","2,609,675,000","2,417,167,000","2,056,521,000","1,935,044,000","1,279,294,000","951,755,000","881,569,000","746,937,000","380,683,000","318,404,000","292,667,000","250,284,000","145,954,000","85,370,000","61,875,000","68,947,000","64,900,000","66,700,000","29,700,000","17,300,000","13,000,000","10,300,000","10,500,000"
				AccountsPayable,"6,091,700,000","5,881,157,000","4,695,312,000","4,184,662,000","3,604,722,000","3,376,403,000","3,190,029,000","2,936,656,000","2,608,231,000","2,417,167,000","2,056,521,000","1,929,112,000","1,279,294,000","895,736,000","818,153,000","736,986,000","380,683,000","318,404,000","292,667,000","240,548,000","145,954,000","85,370,000","61,875,000","68,947,000","64,900,000","66,700,000","29,700,000","17,300,000","13,000,000","10,300,000","10,500,000"
				TotalTaxPayable,"7,860,000","0","0","16,786,000","0","11,013,000","0","0","1,444,000","0","0","5,932,000","0","4,827,000","8,068,000","9,951,000",,,"0","9,736,000",,,,,,,,,,,
					IncomeTaxPayable,"7,860,000","0","0","16,786,000","0","11,013,000","0","0","1,444,000","0","0","5,932,000","0","4,827,000","8,068,000","9,951,000",,,"0","9,736,000",,,,,,,,,,,
				OtherPayable,,,,,,,,,,,,,,"51,192,000","55,348,000",,,,,,,,,,,,,,,,
			CurrentAccruedExpenses,"312,772,000","293,321,000","342,460,000","331,599,000","199,355,000","175,602,000","146,455,000","146,171,000","131,304,000","141,388,000","106,782,000","102,537,000","93,977,000","98,267,000","87,085,000","99,199,000","37,235,000","34,119,000","34,353,000","25,750,000","25,828,000","34,422,000","26,904,000",,,,,,,,
		CurrentProvisions,"128,548,000","138,926,000","128,794,000","109,199,000","79,079,000","77,012,000","71,695,000","67,921,000","72,741,000","64,882,000","57,700,000","54,190,000","53,155,000",,,,,,"34,797,000","25,174,000",,,,,,,,,,,
		PensionandOtherPostRetirementBenefitPlansCurrent,,"166,433,000","234,872,000","242,724,000","98,539,000","89,082,000","69,308,000","74,454,000","72,203,000","62,946,000","41,262,000","42,417,000","41,512,000",,,,,,"14,997,000","10,620,000",,,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,"389,536,000","366,721,000","337,832,000","322,778,000","316,061,000",,,,,"25,000","67,000","222,000","662,000","1,431,000","106,708,000","8,131,000","25,320,000","309,000","75,313,000","592,000","925,000","682,000","16,843,000","49,121,000","19,400,000","13,700,000","100,000","3,200,000","200,000","300,000","500,000"
			CurrentDebt,,,,,,,,,,"25,000","67,000","222,000","662,000","1,431,000","106,708,000","8,131,000","25,320,000","309,000","75,313,000","592,000","925,000","682,000","16,843,000","49,121,000","19,400,000","13,700,000","100,000","3,200,000","200,000","300,000","500,000"
				CurrentNotesPayable,,,,,,,,,,,,,,,,,,,,,,,"5,000,000",,,,,,,,
				OtherCurrentBorrowings,,,,,,,,,,,,,,,,,,,,,,,"11,843,000",,,,,,,,
			CurrentCapitalLeaseObligation,"389,536,000","366,721,000","337,832,000","322,778,000","316,061,000","0",,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredLiabilities,,,,,,,,,,"17,258,000","20,222,000","19,472,000","1,990,000",,,,"6,235,000","5,779,000","2,451,000","7,198,000",,,,,,,,,,,
