name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,08/31/1992,08/31/1991,08/31/1990,08/31/1989
		ChangeInWorkingCapital,"158,502,000","303,254,000","60,414,000","-542,970,000","-44,247,000","29,718,000","-87,395,000","-66,124,000","11,467,000","-37,391,000","4,038,000","-7,917,000","3,380,000","-20,728,000","-5,183,000","34,156,000","-28,684,000","26,936,000","17,608,000","-14,528,000","-26,075,000","2,561,000","-14,822,000","10,451,000","-5,505,000","3,300,000","-4,300,000","-4,200,000","-2,800,000","1,200,000","400,000","-2,100,000","3,100,000","-1,700,000","-2,400,000","-1,000,000","-3,400,000"
			ChangeInReceivables,"-36,416,000","1,594,000","115,706,000","-58,843,000","-45,028,000","-25,452,000","-11,352,000","-12,601,000","-13,899,000","2,082,000","-606,000","-9,013,000","774,000","-5,007,000","-341,000","-4,628,000","9,497,000","3,061,000","17,272,000","-7,484,000","-6,127,000","-1,107,000","-3,313,000","4,071,000","-2,148,000","2,300,000","-3,600,000","2,200,000","2,200,000","-1,100,000","-400,000","-1,200,000","4,300,000","-900,000","-1,400,000","-700,000","-2,200,000"
				ChangesInAccountReceivables,"-36,416,000","1,594,000","115,706,000","-58,843,000","-45,028,000","-25,452,000","-11,352,000","-12,601,000","-13,899,000","2,082,000","-606,000","-9,013,000","774,000","-5,007,000","-341,000","-4,628,000","9,497,000",,,,,,,,,,,,,,,,,,,,
			ChangeInInventory,"122,352,000","235,347,000","117,419,000","-516,692,000","-86,898,000","57,790,000","-34,730,000","-78,698,000","-7,856,000","-31,276,000","-21,940,000","-3,403,000","-4,727,000","-14,738,000","-11,757,000","37,505,000","-12,695,000","8,994,000","20,219,000","-27,357,000","-28,447,000","218,000","-11,501,000","6,155,000","-321,000","2,000,000","-3,700,000","-100,000","-4,600,000","-500,000","-2,900,000","-3,000,000","-400,000","-2,400,000","-400,000","-1,000,000","-1,500,000"
			ChangeInPrepaidAssets,"11,601,000","25,954,000","14,990,000","-13,306,000","-29,158,000","6,882,000","-17,691,000","-10,898,000","-15,553,000","-2,249,000","-4,610,000","-2,288,000","-10,738,000","-1,848,000","-951,000","3,226,000","-1,980,000","1,478,000","-2,213,000","653,000","2,232,000","2,524,000","-4,542,000","-750,000",,,,,,,,,,,,,
			ChangeInPayablesAndAccruedExpense,"60,965,000","40,359,000","-187,701,000","45,871,000","116,837,000","-9,502,000","-23,622,000","36,073,000","48,775,000","-5,948,000","31,194,000","6,787,000","18,071,000","865,000","7,866,000","-1,947,000","-23,506,000","13,403,000","-17,670,000","19,660,000","6,267,000","926,000","4,534,000","975,000","-3,399,000","-1,800,000","3,400,000","-2,900,000","-300,000","2,400,000","2,800,000","2,700,000","-1,100,000","2,200,000","-600,000","1,100,000","1,000,000"
				ChangeInPayable,"19,765,000","38,737,000","-161,121,000","68,879,000","67,679,000","-12,189,000","-17,335,000","20,727,000","18,800,000","-21,783,000","21,269,000","2,296,000","5,983,000","4,391,000","3,838,000",,,,,,,,,,,,,,,,,,,,,,
					ChangeInAccountPayable,"19,765,000","38,737,000","-161,121,000","68,879,000","67,679,000","-12,189,000","-17,335,000","20,727,000","18,800,000","-21,783,000","21,269,000","2,296,000","5,983,000","4,391,000","3,838,000",,,,,,,,,,,,,,,,,,,,,,
				ChangeInAccruedExpense,"41,200,000","1,622,000","-26,580,000","-23,008,000","49,158,000","2,687,000","-6,287,000","15,346,000","29,975,000","15,835,000","9,925,000","4,491,000","12,088,000","-3,526,000","4,028,000",,,,,,,,,,,,,,,,,,,,,,
			ChangeInOtherCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,"363,000","800,000","-400,000","-3,400,000","-100,000","400,000","900,000","-600,000","-300,000","-600,000",,"-400,000","-700,000"
