name,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013,01/31/2002,01/31/2001,01/31/2000,01/31/1999,01/31/1998,01/31/1997,01/31/1996,01/31/1995,01/31/1994,01/31/1993,01/31/1992,01/31/1991,01/31/1990,01/31/1989,01/31/1988,01/31/1987,01/31/1986
			CurrentCapitalLeaseObligation,"6,024,000","5,414,000","5,617,000","5,183,000","5,864,000","0",,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredLiabilities,"39,918,000","40,513,000","41,630,000","43,985,000","30,688,000","27,242,000","32,265,000","30,659,000","31,899,000","34,253,000","48,804,000","47,858,000",,,,,,,,,,,,,,,,,
			CurrentDeferredTaxesLiabilities,,,,,,,,,,"0","4,019,000","7,315,000",,,,,,,,,,,,,,,,,
			CurrentDeferredRevenue,"39,918,000","40,513,000","41,630,000","43,985,000","30,688,000","27,242,000","32,265,000","30,659,000","31,899,000","34,253,000","44,785,000","40,543,000",,,,,,,,,,,,,,,,,
		OtherCurrentLiabilities,"8,256,000","8,852,000","8,014,000","12,432,000","9,736,000","11,240,000","12,744,000","18,100,000","14,017,000","17,751,000","7,292,000","12,277,000","81,251,000","63,409,000","64,638,000","78,419,000","65,900,000","57,800,000","43,000,000","42,300,000","36,100,000","29,300,000","31,400,000","21,300,000","17,700,000","23,800,000","37,000,000","32,600,000","17,800,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"309,968,000","403,919,000","318,506,000","360,883,000","481,681,000","546,949,000","560,911,000","594,125,000","666,928,000","705,457,000","198,600,000","200,755,000",,,,,,,,,,,,,,,,,
		LongTermDebtAndCapitalLeaseObligation,"259,122,000","354,601,000","267,205,000","308,443,000","418,498,000","482,453,000","486,248,000","490,043,000","493,838,000","505,988,000",,,,,,,,,,,,,"1,700,000","3,300,000","5,000,000","6,800,000","8,700,000","10,600,000","10,300,000"
			LongTermDebt,"236,170,000","323,506,000","234,474,000","270,632,000","378,657,000","482,453,000","486,248,000","490,043,000","493,838,000","505,988,000",,,,,,,,,,,,,"1,700,000","3,300,000","5,000,000","6,800,000","8,700,000","10,600,000","10,300,000"
			LongTermCapitalLeaseObligation,"22,952,000","31,095,000","32,731,000","37,811,000","39,841,000","0",,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredLiabilities,"48,020,000","45,953,000","46,191,000","47,346,000","57,651,000","58,670,000","59,137,000","90,467,000","157,252,000","181,045,000","195,534,000","196,559,000","12,838,000","14,567,000","9,117,000","8,133,000","8,700,000","8,800,000","7,200,000","5,400,000","5,200,000","2,300,000","3,000,000","4,500,000","3,400,000","900,000","2,800,000","3,100,000",
			NonCurrentDeferredTaxesLiabilities,"48,020,000","45,953,000","46,191,000","47,346,000","57,651,000","58,670,000","59,137,000","90,467,000","157,252,000","181,045,000","195,534,000","196,559,000","12,838,000","14,567,000","9,117,000","8,133,000","8,700,000","8,800,000","7,200,000","5,400,000","5,200,000","2,300,000","3,000,000","4,500,000","3,400,000","900,000","2,800,000","3,100,000",
		OtherNonCurrentLiabilities,"2,826,000","3,365,000","5,110,000","5,094,000","5,532,000","5,826,000","15,526,000","13,615,000","15,838,000","18,424,000","3,066,000","4,196,000",,,,,,,,,,,,,,,,,
TotalEquityGrossMinorityInterest,"241,593,000","380,752,000","406,696,000","369,703,000","348,382,000","322,711,000","307,093,000","271,412,000","384,509,000","404,193,000","792,314,000","823,237,000","400,718,000","314,188,000","296,207,000","242,503,000","242,700,000","223,000,000","201,200,000","189,100,000","177,600,000","139,400,000","126,600,000","116,800,000","114,600,000","91,900,000","56,700,000","37,900,000","27,200,000"
	StockholdersEquity,"241,593,000","380,752,000","406,696,000","369,703,000","348,382,000","322,711,000","307,093,000","271,412,000","384,509,000","404,193,000","792,314,000","823,237,000","400,718,000","314,188,000","296,207,000","242,503,000","242,700,000","223,000,000","201,200,000","189,100,000","177,300,000","139,400,000","126,600,000","116,800,000","114,600,000","91,900,000","56,700,000","37,900,000","27,200,000"
		CapitalStock,"315,000","326,000","330,000","326,000","324,000","320,000","320,000","320,000","320,000","320,000","0",,"402,000","402,000","402,000","402,000",,,,,,,,,,,,,
			CommonStock,"315,000","326,000","330,000","326,000","324,000","320,000","320,000","320,000","320,000","320,000","0",,"402,000","402,000","402,000","402,000",,,,,,,,,,,,,
		AdditionalPaidInCapital,"356,764,000","366,181,000","374,413,000","369,372,000","360,656,000","352,733,000","347,175,000","343,971,000","344,244,000","342,294,000","0",,"39,568,000","31,908,000","29,709,000","26,994,000",,,,,,,,,,,,,
		RetainedEarnings,"-99,417,000","31,267,000","44,595,000","11,226,000","390,000","-17,159,000","-29,810,000","-60,453,000","49,329,000","68,877,000","0",,"556,003,000","489,087,000","454,430,000","406,396,000","375,200,000","311,100,000","260,100,000","229,600,000","193,500,000","153,300,000","123,400,000","98,400,000","87,500,000","62,400,000","34,200,000","15,400,000","27,300,000"
		TreasuryStock,,,,,,,,,,,,,"206,942,000","221,462,000","199,173,000","201,298,000",,,,,,,,,,,,,
		GainsLossesNotAffectingRetainedEarnings,"-16,069,000","-17,022,000","-12,642,000","-11,221,000","-12,988,000","-13,183,000","-10,592,000","-12,426,000","-9,384,000","-7,298,000","-1,995,000","-3,161,000",,,,,,,,,,,,,,,,,
			OtherEquityAdjustments,"-16,069,000","-17,022,000","-12,642,000","-11,221,000","-12,988,000","-13,183,000","-10,592,000","-12,426,000","-9,384,000","-7,298,000","-1,995,000","-3,161,000",,,,,,,,,,,,,,,,,
		OtherEquityInterest,,,,,,,,,,,"794,309,000","826,398,000","11,687,000","14,253,000","10,839,000","10,009,000","-132,500,000","-88,100,000","-58,900,000","-40,500,000","-16,200,000","-13,900,000","3,200,000","18,400,000","27,100,000","29,500,000","22,500,000","22,500,000","-100,000"
	MinorityInterest,,,,,,,,,,,,,,,,,,,,,"300,000",,,,,,,,
TotalCapitalization,"477,763,000","704,258,000","641,170,000","640,335,000","727,039,000","805,164,000","793,341,000","761,455,000","878,347,000","910,181,000","792,314,000","823,237,000","400,718,000","314,188,000","296,207,000","242,503,000","242,700,000","223,000,000","201,200,000","189,100,000","177,300,000","139,400,000","128,300,000","120,100,000","119,600,000","98,700,000","65,400,000","48,500,000","37,500,000"
CommonStockEquity,"241,593,000","380,752,000","406,696,000","369,703,000","348,382,000","322,711,000","307,093,000","271,412,000","384,509,000","404,193,000","792,314,000","823,237,000","400,718,000","314,188,000","296,207,000","242,503,000","242,700,000","223,000,000","201,200,000","189,100,000","177,300,000","139,400,000","126,600,000","116,800,000","114,600,000","91,900,000","56,700,000","37,900,000","27,200,000"
CapitalLeaseObligations,"28,976,000","36,509,000","38,348,000","42,994,000","45,705,000","0",,,,,,,,,,,,,,,,,,,,,,,
NetTangibleAssets,"-15,407,000","17,052,000","42,996,000","6,003,000","-18,618,000","-44,289,000","-59,907,000","-95,588,000","-155,491,000","-234,519,000","150,972,000","179,265,000","400,718,000","313,537,000","295,241,000","241,473,000","241,800,000","220,700,000","198,800,000","186,600,000","175,400,000","139,400,000","126,600,000","116,800,000","114,600,000","91,900,000","56,700,000","37,900,000","27,200,000"
WorkingCapital,"150,342,000","259,249,000","195,517,000","180,908,000","261,812,000","347,130,000","350,622,000","358,546,000","386,461,000","347,253,000","247,888,000","269,452,000","217,020,000","142,811,000","138,536,000","89,020,000","117,100,000","126,400,000","107,400,000","95,500,000","101,300,000","67,500,000","56,800,000","47,000,000","55,800,000","52,100,000","39,400,000","24,800,000","17,700,000"
InvestedCapital,"490,763,000","718,008,000","654,920,000","654,085,000","732,189,000","810,314,000","798,491,000","766,605,000","883,497,000","915,331,000","792,314,000","823,237,000","416,887,000","331,128,000","307,931,000","281,445,000","275,100,000","234,200,000","210,500,000","196,700,000","177,300,000","140,400,000","143,000,000","121,800,000","121,400,000","100,600,000","67,300,000","48,800,000","37,700,000"
TangibleBookValue,"-15,407,000","17,052,000","42,996,000","6,003,000","-18,618,000","-44,289,000","-59,907,000","-95,588,000","-155,491,000","-234,519,000","150,972,000","179,265,000","400,718,000","313,537,000","295,241,000","241,473,000","241,800,000","220,700,000","198,800,000","186,600,000","175,400,000","139,400,000","126,600,000","116,800,000","114,600,000","91,900,000","56,700,000","37,900,000","27,200,000"
TotalDebt,"278,146,000","373,765,000","286,572,000","327,376,000","429,512,000","487,603,000","491,398,000","495,193,000","498,988,000","511,138,000",,,"16,169,000","16,940,000","11,724,000","38,942,000","32,400,000","11,200,000","9,300,000","7,600,000",,"1,000,000","16,400,000","5,000,000","6,800,000","8,700,000","10,600,000","10,900,000","10,500,000"
NetDebt,"223,856,000","297,699,000","213,923,000","250,449,000","306,659,000","294,198,000","295,817,000","282,085,000","270,620,000","289,684,000",,,,,,"32,301,000","26,100,000",,,"2,200,000",,,"15,000,000",,,,,,"6,900,000"
ShareIssued,"31,433,000","32,626,000","32,985,000","32,614,000","32,382,000","32,220,080","32,101,793","32,029,359","31,991,668","31,956,521","31,956,521","31,956,521","29,985,000","29,276,000","30,150,000","29,904,000","30,940,000","32,443,000","33,660,000","34,826,000","35,912,000","36,056,000","36,942,000","39,762,000","39,762,000","40,080,000","40,080,000","40,080,000","36,676,000"
OrdinarySharesNumber,"31,433,000","32,626,000","32,985,000","32,614,000","32,382,000","32,220,080","32,101,793","32,029,359","31,991,668","31,956,521","31,956,521","31,956,521","29,985,000","29,276,000","30,150,000","29,904,000","30,940,000","32,443,000","33,660,000","34,826,000","35,912,000","36,056,000","36,942,000","39,762,000","39,762,000","40,080,000","40,080,000","40,080,000","36,676,000"
