name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007
		RetainedEarnings,"3,738,000,000","3,622,000,000","3,167,000,000","3,389,000,000","4,170,000,000","3,819,000,000","3,054,000,000","2,493,000,000","2,289,000,000","2,165,000,000","1,821,000,000","1,614,000,000","1,517,000,000","1,404,000,000","1,338,000,000","1,381,000,000","1,213,000,000"
		TreasuryStock,,,,,,,,,"0","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","2,000,000","0","1,101,000,000"
		GainsLossesNotAffectingRetainedEarnings,"-175,000,000","-242,000,000","-245,000,000","-192,000,000","-209,000,000","-200,000,000","-185,000,000","-277,000,000","-230,000,000","-160,000,000","-68,000,000","-67,000,000","-80,000,000","-38,000,000","-53,000,000","-60,000,000","-4,000,000"
			OtherEquityAdjustments,"-175,000,000","-242,000,000","-245,000,000","-192,000,000","-209,000,000","-200,000,000","-185,000,000","-277,000,000","-230,000,000","-160,000,000","-68,000,000","-67,000,000","-80,000,000",,,,
	MinorityInterest,"3,000,000","3,000,000","3,000,000","3,000,000","5,000,000","7,000,000","16,000,000","5,000,000","4,000,000","4,000,000","8,000,000","10,000,000","10,000,000","13,000,000","24,000,000","28,000,000","35,000,000"
TotalCapitalization,"5,869,000,000","6,152,000,000","7,531,000,000","6,195,000,000","5,574,000,000","5,293,000,000","5,277,000,000","5,348,000,000","5,033,000,000","6,008,000,000","6,058,000,000","6,040,000,000","6,039,000,000","6,634,000,000","6,636,000,000","5,438,000,000","4,228,000,000"
CommonStockEquity,"3,564,000,000","3,699,000,000","3,563,000,000","3,211,000,000","3,962,000,000","3,670,000,000","3,837,000,000","3,903,000,000","3,991,000,000","4,627,000,000","4,769,000,000","4,811,000,000","4,818,000,000","5,118,000,000","5,016,000,000","3,564,000,000","3,434,000,000"
CapitalLeaseObligations,"314,000,000","337,000,000","384,000,000","406,000,000","425,000,000","0",,,,,,,,,,,
NetTangibleAssets,"-1,311,000,000","-1,070,000,000","-1,379,000,000","2,538,000,000","3,199,000,000","2,759,000,000","3,382,000,000","3,179,000,000","3,315,000,000","3,942,000,000","4,031,000,000","4,290,000,000","4,357,000,000","4,736,000,000","4,619,000,000","3,188,000,000","2,872,000,000"
WorkingCapital,"-1,448,000,000","-1,037,000,000","-170,000,000","1,579,000,000","620,000,000","284,000,000","335,000,000","215,000,000","17,000,000","979,000,000","292,000,000","1,140,000,000","1,023,000,000","1,569,000,000","1,514,000,000","404,000,000","368,000,000"
InvestedCapital,"6,620,000,000","6,812,000,000","7,541,000,000","6,455,000,000","5,585,000,000","5,304,000,000","5,288,000,000","5,467,000,000","5,361,000,000","6,017,000,000","6,252,000,000","6,044,000,000","6,043,000,000","6,691,000,000","6,648,000,000","5,476,000,000","4,254,000,000"
TangibleBookValue,"-1,311,000,000","-1,070,000,000","-1,379,000,000","2,538,000,000","3,199,000,000","2,759,000,000","3,382,000,000","3,179,000,000","3,315,000,000","3,942,000,000","4,031,000,000","4,290,000,000","4,357,000,000","4,736,000,000","4,619,000,000","3,188,000,000","2,872,000,000"
TotalDebt,"3,370,000,000","3,450,000,000","4,362,000,000","3,650,000,000","2,048,000,000","1,634,000,000","1,451,000,000","1,564,000,000","1,370,000,000","1,390,000,000","1,483,000,000","1,233,000,000","1,225,000,000","1,573,000,000","1,632,000,000","1,912,000,000","820,000,000"
NetDebt,"2,175,000,000","2,122,000,000","3,018,000,000","2,037,000,000","730,000,000","1,064,000,000","948,000,000","1,082,000,000","913,000,000","705,000,000","1,029,000,000","820,000,000","691,000,000","463,000,000","305,000,000","1,484,000,000","411,000,000"
ShareIssued,"103,032,941","106,400,536","109,975,321","101,289,159","101,572,453","106,623,645","118,984,986","130,815,270","136,233,649","149,118,226","156,147,880","162,102,393","165,198,512","173,989,470","173,942,263","168,039,995","168,039,995"
OrdinarySharesNumber,"103,032,941","106,400,536","109,975,321","101,289,159","101,572,453","106,623,645","118,984,986","130,815,270","136,233,649","149,081,953","156,111,607","162,066,120","165,162,239","173,953,197","173,875,185","168,039,995","168,039,995"
TreasurySharesNumber,"0",,,,,,,,,"36,273","36,273","36,273","36,273","36,273","67,078",,
