name,ttm,09/30/2023,09/30/2022,09/30/2021,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994,09/30/1993,09/30/1992,09/30/1991
				AmortizationCashFlow,,,,,,,,,,,,,,,,,,"653,000","2,013,000","10,097,000","11,603,000",,,,,,,,,,,,,
					AmortizationOfIntangibles,,,,,,,,,,,,,,,,,,"653,000","2,013,000","10,097,000","11,603,000",,,,,,,,,,,,,
		DeferredTax,"-12,600,000","-59,400,000","-37,800,000","-146,200,000","-25,800,000","-1,495,400,000","714,900,000","95,100,000","265,700,000","21,200,000","10,200,000","-1,045,900,000","61,100,000","106,200,000","-42,000,000","-69,600,000","-117,100,000","-37,326,000","-84,324,000","-31,253,000","-3,770,000","-22,813,000","-6,088,000","-6,068,000","-18,252,000","800,000","2,100,000","5,500,000","4,400,000","200,000","200,000","-900,000",,
			DeferredIncomeTax,"-12,600,000","-59,400,000","-37,800,000","-146,200,000","-25,800,000","-1,495,400,000","714,900,000","95,100,000","265,700,000","21,200,000","10,200,000","-1,045,900,000","61,100,000","106,200,000","-42,000,000","-69,600,000","-117,100,000","-37,326,000","-84,324,000","-31,253,000","-3,770,000","-22,813,000","-6,088,000","-6,068,000","-18,252,000","800,000","2,100,000","5,500,000","4,400,000","200,000","200,000","-900,000",,
		AssetImpairmentCharge,,,,"0","0","10,500,000","37,600,000","87,200,000","0","0",,,,"36,200,000","67,700,000","224,400,000","325,000,000",,,,,,,,,,,,,,,,,
		StockBasedCompensation,"310,800,000","302,700,000","271,500,000","319,100,000","248,600,000","308,000,000","250,300,000","176,000,000","218,100,000","209,800,000","183,200,000","142,300,000","153,600,000","145,200,000","113,600,000","83,200,000","75,000,000",,,,,,,,,,,,,,,,,
		ExcessTaxBenefitFromStockBasedCompensation,,,,,,,,"-77,500,000","-122,800,000","-132,400,000","-114,400,000","-258,100,000","-169,800,000","-103,900,000","-36,900,000","-15,900,000","-10,900,000",,,,,,,,,,,,,,,,,
		OtherNonCashItems,"1,474,300,000","1,392,700,000","1,429,900,000","1,242,600,000","1,222,100,000","-577,500,000","-1,363,000,000","68,900,000","45,100,000","-340,500,000","-34,000,000","2,727,000,000","23,600,000","33,300,000","75,500,000","7,400,000","-100,000","44,547,000","75,688,000","160,361,000","119,681,000",,,,,"100,000","100,000","-100,000","200,000","100,000","2,800,000",,"600,000",
		ChangeInWorkingCapital,"-968,300,000","-1,133,400,000","-2,133,000,000","-501,200,000","-2,676,400,000","1,648,700,000","6,913,700,000","89,700,000","353,000,000","278,800,000","-2,209,800,000","734,800,000","-234,200,000","-352,000,000","109,000,000","230,100,000","75,500,000","159,287,000","221,942,000","-28,330,000","64,184,000","34,086,000","11,841,000","79,427,000","19,554,000","700,000","-16,900,000","-23,000,000","57,600,000","-43,700,000","-27,200,000","-5,700,000","-100,000","-2,700,000"
			ChangeInReceivables,"-3,700,000","-4,100,000","-326,100,000","-43,000,000","-2,700,000","-197,700,000","131,000,000","-96,800,000","-55,600,000","-82,800,000","-79,700,000","-68,300,000","-90,300,000","-88,700,000","-33,400,000",,,,,"-49,311,000",,,"-6,703,000","-17,177,000","-28,235,000","3,800,000","-19,800,000","-13,500,000","-7,900,000","-4,800,000","-2,300,000","-1,300,000","-700,000","-300,000"
				ChangesInAccountReceivables,"-3,700,000","-4,100,000","-326,100,000","-43,000,000","-2,700,000","-197,700,000","131,000,000","-96,800,000","-55,600,000","-82,800,000","-79,700,000","-68,300,000","-90,300,000","-88,700,000","-33,400,000",,,,,,,,,,,,,,,,,,,
			ChangeInInventory,"118,500,000","366,400,000","-641,000,000","-49,800,000","-10,900,000","-173,000,000","-41,200,000","14,000,000","-67,500,000","-207,900,000","14,300,000","152,500,000","-273,300,000","-422,300,000","123,200,000","28,500,000","-600,000","-48,576,000","-85,527,000","-121,618,000","-77,662,000","-64,768,000","-41,379,000","-19,704,000","-19,495,000","-36,400,000","-23,500,000","-36,400,000","40,200,000","-67,600,000","-30,100,000","-12,500,000","-3,600,000","-4,800,000"
			ChangeInPrepaidAssets,,,,"251,100,000","-317,500,000","922,000,000","-839,500,000","-20,000,000","248,800,000","261,500,000","418,300,000","76,300,000","-19,700,000","-22,500,000","17,300,000",,,,,,"-16,621,000","-12,861,000","-12,460,000","-10,919,000",,,,,,,,,,
			ChangeInPayablesAndAccruedExpense,"68,300,000","152,600,000","195,900,000","476,000,000","-1,425,400,000","1,269,000,000","537,600,000","-45,500,000","46,900,000","137,700,000","-2,703,500,000","434,400,000","88,300,000","145,700,000","-22,300,000","4,200,000","-56,600,000","36,068,000","104,966,000","9,717,000","27,948,000","24,990,000","5,463,000","54,117,000","15,561,000","4,700,000","4,600,000","9,600,000","9,500,000","19,600,000","2,400,000","1,600,000","500,000","1,300,000"
				ChangeInPayable,"68,300,000","152,600,000","195,900,000","476,000,000","-1,425,400,000","1,269,000,000","537,600,000","-45,500,000","46,900,000","137,700,000","60,400,000","387,100,000","96,400,000","227,500,000","-3,600,000","-53,000,000","-63,900,000",,,,,,,,,,,,,,,,,
					ChangeInTaxPayable,"-46,200,000","52,500,000","-149,600,000","286,100,000","-1,214,600,000","1,237,100,000","146,000,000","-91,900,000",,"87,600,000","309,800,000","298,400,000","201,600,000","104,000,000",,,,,,,,,,,,,,,,,,,,
						ChangeInIncomeTaxPayable,"-46,200,000","52,500,000","-149,600,000","286,100,000","-1,214,600,000","1,237,100,000","146,000,000","-91,900,000",,"87,600,000","309,800,000","298,400,000","201,600,000","104,000,000",,,,,,,,,,,,,,,,,,,,
