name,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013,01/31/2012,01/31/2011,01/31/2010,01/31/2009,01/31/2008,01/31/2007,01/31/2006,01/31/2005,01/31/2004,01/31/2003,01/31/2002,01/31/2001,01/31/2000,01/31/1999,01/31/1998,01/31/1997,01/31/1996,07/31/1995,07/31/1994,07/31/1993
				TotalTaxPayable,"198,467,000","62,831,000","158,091,000","156,422,000","53,051,000","102,237,000","67,105,000","66,404,000","101,525,000","77,994,000","29,338,000","94,688,000","62,760,000",,,,,,,,,,,,,,,,,,,
				OtherPayable,,,,,,,,,,,,,,,"19,057,000","18,299,000",,,,,,,,,,,,,,,,
			CurrentAccruedExpenses,,,,,,"89,076,000","83,312,000","78,619,000","77,482,000","78,567,000","76,397,000","77,873,000","76,921,000","162,910,000","163,652,000","100,371,000","134,458,000","207,848,000","143,829,000","115,023,000","83,746,000","54,132,000","82,949,000","25,549,000","15,587,000","17,739,000","9,227,000","4,926,000","4,255,000",,,
		PensionandOtherPostRetirementBenefitPlansCurrent,"152,353,000","51,912,000","141,817,000","142,272,000","43,537,000","82,173,000","54,324,000","54,184,000","79,302,000","44,884,000","23,560,000","65,533,000","42,625,000",,,,,,,,,,,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,"284,508,000","337,258,000","311,005,000","328,624,000","299,161,000",,,,,,,,,,"30,000,000","75,000,000","12,953,000",,,,"4,832,000","4,225,000","4,044,000","4,300,000",,,,,,"28,800,000","3,400,000","11,400,000"
			CurrentDebt,,,,,,,,,,,,,,,"30,000,000","75,000,000","12,953,000",,,,"4,832,000","4,225,000","4,044,000","4,300,000",,,,,,"28,800,000","3,400,000","11,400,000"
				CurrentNotesPayable,,,,,,,,,,,,,,"0","30,000,000","75,000,000",,,,,"4,832,000","4,225,000","4,044,000","4,300,000",,,,,,,,
			CurrentCapitalLeaseObligation,"284,508,000","337,258,000","311,005,000","328,624,000","299,161,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredLiabilities,"66,285,000","67,618,000","71,365,000","62,181,000","56,974,000","53,997,000","63,550,000","65,746,000","60,985,000","60,857,000","60,487,000","59,839,000","60,036,000","16,203,000","17,388,000","13,726,000",,,,,,,,,,,,,,,,
			CurrentDeferredRevenue,"66,285,000","67,618,000","71,365,000","62,181,000","56,974,000","53,997,000","52,347,000","52,966,000","48,274,000","47,888,000","47,194,000","46,458,000","44,970,000",,,,,,,,,,,,,,,,,,,
		OtherCurrentLiabilities,"73,604,000","66,901,000","70,628,000","55,343,000","56,824,000","145,740,000","34,551,000","36,810,000","40,901,000","50,529,000","45,384,000","26,628,000","21,901,000","41,001,000","39,389,000","42,299,000","83,792,000","85,620,000","68,461,000","58,674,000","49,071,000","32,621,000","25,056,000","102,809,000","24,894,000","23,461,000","20,154,000","14,026,000","11,146,000","10,000,000","5,500,000","5,600,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"929,978,000","1,052,845,000","1,520,100,000","1,489,659,000","1,329,070,000","73,178,000","84,301,000","84,308,000","97,188,000","98,069,000","112,508,000","98,964,000","128,550,000","141,090,000","150,676,000","152,882,000","151,038,000","97,628,000","98,610,000","82,814,000","86,058,000","22,271,000","20,727,000","26,204,000","1,702,000",,,,,,"100,000","7,400,000"
		LongTermDebtAndCapitalLeaseObligation,"901,122,000","1,030,111,000","1,495,483,000","1,474,032,000","1,301,735,000","0",,,,,,,,,,,,,"60,087,000","57,758,000","13,874,000","16,356,000","19,361,000","24,889,000",,,,,,,,"7,400,000"
			LongTermDebt,,"8,911,000","341,002,000","325,290,000",,,,,,,,,,,,,,,,,"13,874,000","16,356,000","19,361,000","24,889,000",,,,,,,,"7,400,000"
			LongTermCapitalLeaseObligation,"901,122,000","1,021,200,000","1,154,481,000","1,148,742,000","1,301,735,000","0",,,,,,,,,,,,,"60,087,000","57,758,000",,,,,,,,,,,,
		NonCurrentDeferredLiabilities,,,,,,"47,377,000","47,977,000","45,114,000","50,104,000","54,516,000","59,510,000","59,571,000","71,880,000","78,606,000","89,591,000","88,314,000",,,,,,,,,,,,,,,,
