name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991
		OtherEquityInterest,,,,,,,,,,,,,,,,,,,,,,,,,,"15,800,000","12,200,000","8,800,000","6,100,000","5,100,000","4,400,000","4,000,000","100,000"
TotalCapitalization,"2,928,700,000","2,967,900,000","2,899,300,000","2,620,500,000","2,408,500,000","2,282,500,000","1,566,604,000","1,509,294,000","1,540,302,000","1,028,826,000","1,029,946,000","949,311,000","328,493,000","281,237,000","304,574,000","344,427,000","328,947,000","165,944,000","76,637,000","74,471,000","115,885,000","201,047,000","114,779,000","95,291,000","63,447,000","54,200,000","39,300,000","27,600,000","19,100,000","13,800,000","9,800,000","6,900,000","3,900,000"
PreferredStockEquity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,700,000"
CommonStockEquity,"1,892,100,000","1,901,300,000","1,865,400,000","1,587,100,000","1,376,200,000","1,182,100,000","991,391,000","868,939,000","784,794,000","634,408,000","640,133,000","532,723,000","246,743,000","219,487,000","226,661,000","218,514,000","193,034,000","165,944,000","76,637,000","74,471,000","115,885,000","201,047,000","114,779,000","95,291,000","63,447,000","54,200,000","39,300,000","27,600,000","19,100,000","13,800,000","9,800,000","6,900,000","1,200,000"
CapitalLeaseObligations,"68,600,000","55,200,000","63,500,000","79,700,000","101,500,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,
NetTangibleAssets,"-499,900,000","-560,300,000","-192,000,000","-303,500,000","-587,200,000","-727,700,000","-255,470,000","-382,304,000","-508,037,000","-128,261,000","-220,785,000","-227,275,000","-12,697,000","-5,403,000","-1,676,000","-15,691,000","-41,482,000","148,168,000","58,485,000","54,673,000","63,077,000","63,734,000","113,237,000","93,598,000","61,979,000","53,000,000","38,800,000","27,000,000","18,500,000","13,100,000","9,800,000","6,900,000","3,900,000"
WorkingCapital,"579,200,000","539,200,000","858,500,000","578,200,000","450,600,000","378,100,000","332,806,000","275,025,000","253,858,000","201,271,000","182,142,000","177,228,000","74,705,000","50,596,000","62,238,000","91,192,000","79,009,000","135,501,000","47,629,000","40,957,000","53,258,000","57,153,000","105,851,000","84,717,000","54,769,000","44,000,000","35,200,000","23,900,000","13,900,000","10,300,000","8,400,000","6,000,000","3,200,000"
InvestedCapital,"2,928,700,000","2,967,900,000","2,899,300,000","2,620,500,000","2,408,500,000","2,282,500,000","1,566,604,000","1,509,294,000","1,540,302,000","1,046,265,000","1,039,946,000","959,311,000","333,493,000","286,237,000","304,574,000","344,427,000","328,947,000","165,944,000","76,637,000","74,471,000","115,885,000","201,047,000","114,779,000","95,291,000","63,447,000","54,200,000","39,300,000","27,600,000","19,100,000","13,800,000","9,800,000","6,900,000","1,200,000"
TangibleBookValue,"-499,900,000","-560,300,000","-192,000,000","-303,500,000","-587,200,000","-727,700,000","-255,470,000","-382,304,000","-508,037,000","-128,261,000","-220,785,000","-227,275,000","-12,697,000","-5,403,000","-1,676,000","-15,691,000","-41,482,000","148,168,000","58,485,000","54,673,000","63,077,000","63,734,000","113,237,000","93,598,000","61,979,000","53,000,000","38,800,000","27,000,000","18,500,000","13,100,000","9,800,000","6,900,000","1,200,000"
TotalDebt,"1,105,200,000","1,121,800,000","1,097,400,000","1,113,100,000","1,133,800,000","1,100,400,000","575,213,000","640,355,000","755,508,000","411,857,000","399,813,000","426,588,000","86,750,000","66,750,000","77,913,000","125,913,000","135,913,000",,,,,,,,,,,,,,,,
NetDebt,"860,700,000","996,300,000","504,300,000","759,000,000","937,100,000","1,058,600,000","538,546,000","613,311,000","731,639,000","382,997,000","362,463,000","399,109,000","69,011,000","48,341,000","51,939,000","79,642,000","98,149,000",,,,,,,,,,,,,,,,
ShareIssued,"46,700,000","49,500,000","51,800,000","52,900,000","52,900,000","52,511,440","52,151,538","52,716,388","53,024,972","51,386,693","53,926,525","52,960,570","37,012,250","36,398,811","36,262,810","38,789,733","35,177,483","34,058,147","25,659,904","25,324,841","25,233,213","26,378,461","22,652,766","22,476,618","18,848,126","14,089,454","14,887,952","20,624,000","19,412,000","18,960,000","18,308,000","17,572,000","18,284,000"
OrdinarySharesNumber,"46,700,000","49,500,000","51,800,000","52,900,000","52,900,000","52,511,440","52,151,538","52,716,388","53,024,972","51,386,693","53,926,525","52,960,570","37,012,250","36,398,811","36,262,810","35,692,369","35,177,483","34,058,147","25,659,904","25,324,841","25,233,213","26,378,461","22,652,766","22,476,618","18,848,126","14,089,454","14,887,952","20,624,000","19,412,000","18,960,000","18,308,000","17,572,000","18,284,000"
TreasurySharesNumber,,,,,,,,,,,,,,,,"3,097,364",,,,,,,,,,,,,,,,,
