name,ttm,11/30/2023,11/30/2022,11/30/2021,11/30/2020,11/30/2019,11/30/2018,11/30/2017,11/30/2016,11/30/2015,11/30/2014,11/30/2013,11/30/2012,11/30/2011,11/30/2010,11/30/2009,11/30/2008,11/30/2007,11/30/2006,11/30/2005,11/30/2004,11/30/2003,11/30/2002,11/30/2001,11/30/2000,11/30/1999,11/30/1998,11/30/1997,11/30/1996,11/30/1995,11/30/1994,11/30/1993,11/30/1992,11/30/1991,11/30/1990,11/30/1989,11/30/1988,11/30/1987,11/30/1986
	DepreciationAmortizationDepletionIncomeStatement,"168,000,000","168,000,000","169,000,000","172,000,000","162,000,000","175,000,000","91,000,000","76,562,000","78,534,000","68,649,000","52,424,000","52,254,000","48,657,000","42,833,000","72,130,000","71,555,000","68,246,000","72,435,000","69,873,000",,,,"20,973,000","14,281,000","7,013,000","4,830,000","7,745,000","2,566,000","2,504,000","11,095,000","14,329,000","10,498,000","19,000,000","15,200,000","11,100,000","5,600,000","3,300,000","1,600,000","700,000"
		DepreciationAndAmortizationInIncomeStatement,"168,000,000","168,000,000","169,000,000","172,000,000","162,000,000","175,000,000","91,000,000","76,562,000","78,534,000","68,649,000","52,424,000","52,254,000","48,657,000","42,833,000","72,130,000","71,555,000","68,246,000","72,435,000","69,873,000",,,,"20,973,000","14,281,000","7,013,000","4,830,000","7,745,000","2,566,000","2,504,000","11,095,000","14,329,000","10,498,000","19,000,000","15,200,000","11,100,000","5,600,000","3,300,000","1,600,000","700,000"
			Amortization,"168,000,000","168,000,000","169,000,000","172,000,000","162,000,000","175,000,000","91,000,000","76,562,000","78,534,000","68,649,000","52,424,000","52,254,000","48,657,000","42,833,000","72,130,000","71,555,000","68,246,000","72,435,000","69,873,000",,,,"20,973,000","14,281,000","7,013,000","4,830,000","7,745,000","2,566,000","2,504,000","11,095,000","14,329,000","10,498,000",,,,,,,
				AmortizationOfIntangiblesIncomeStatement,"168,000,000","168,000,000","169,000,000","172,000,000","162,000,000","175,000,000","91,000,000","76,562,000","78,534,000","68,649,000","52,424,000","52,254,000","48,657,000","42,833,000","72,130,000","71,555,000","68,246,000","72,435,000","69,873,000",,,,"20,973,000","14,281,000","7,013,000","4,830,000","7,745,000","2,566,000","2,504,000","11,095,000","14,329,000","10,498,000",,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-590,000",,,,,,,,,,,
OperatingIncome,"7,232,000,000","6,650,000,000","6,098,000,000","5,802,000,000","4,237,000,000","3,268,000,000","2,840,000,000","2,168,095,000","1,493,602,000","903,095,000","432,568,000","449,220,000","1,177,274,000","1,197,072,000","1,016,340,000","731,773,000","1,060,324,000","858,140,000","571,026,000","728,434,000","591,794,000","378,903,000","304,944,000","390,520,000","414,182,000","286,461,000","163,592,000","236,135,000","172,992,000","181,088,000","130,166,000","88,619,000","74,800,000","78,000,000","62,100,000","51,700,000","34,200,000","16,100,000","6,900,000"
NetNonOperatingInterestIncomeExpense,"146,000,000","156,000,000","-51,000,000","-96,000,000","-73,000,000","-89,000,000","4,000,000","-8,333,000","-23,102,000","-35,425,000","-38,377,000","-45,621,000","-42,938,000","-42,446,000","-35,029,000","31,571,000","33,828,000",,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"61,000,000","269,000,000","61,000,000","17,000,000","43,000,000","68,000,000","93,000,000","66,069,000","47,340,000","28,759,000","21,355,000","21,887,000","24,549,000","24,506,000","21,923,000","34,978,000","43,847,000",,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"123,000,000","113,000,000","112,000,000","113,000,000","116,000,000","157,000,000","89,000,000","74,402,000","70,442,000","64,184,000","59,732,000","67,508,000","67,487,000","66,952,000","56,952,000","3,407,000","10,019,000",,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-929,000,000","-7,000,000","-39,000,000","-1,000,000","12,000,000","26,000,000","-50,000,000","-22,121,000","-35,362,000","6,111,000","-32,815,000","-47,458,000","-15,542,000","-119,396,000","-38,160,000","-61,824,000","-15,644,000","-3,491,000","41,516,000","-1,301,000","2,506,000","-12,331,000","-35,102,000","-105,477,000","8,246,000","62,283,000","-23,251,000","28,911,000","42,669,000","-46,517,000","-87,652,000","-30,085,000","-5,200,000","5,700,000","4,100,000","3,200,000","1,600,000","800,000","400,000"
	GainOnSaleOfSecurity,"8,000,000","-8,000,000","-40,000,000","-1,000,000","11,000,000","26,000,000","-50,000,000","-22,204,000","-35,391,000","-16,214,000","-13,757,000","-22,003,000","-19,053,000","-22,535,000","-16,105,000","-1,000","16,409,000",,,,,,,,,,,,,,,,,,,,,,
