name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
					AmortizationOfIntangibles,"1,440,682",,,"0","0","1,440,682","1,920,910","1,920,910","12,072,266","19,136,842","30,775,394","24,936,674","12,583,803","3,879,540","11,933,199","51,402,424","90,807,354","89,306,176","90,210,166.415","33,805,883.978","168,824.591",,,
		DeferredTax,,,,,,,,,,,,,"0","0","7,407,081","-7,407,081","34,474,878","-29,083,755","-3,283,878.138","-437,930.861","4,480,962.595","-6,118,571.062","119,469.251","-147,680.947"
			DeferredIncomeTax,,,,,,,,,,,,,"0","0","7,407,081","-7,407,081","34,474,878","-29,083,755","-3,283,878.138","-437,930.861","4,480,962.595","-6,118,571.062","119,469.251","-147,680.947"
		AmortizationOfSecurities,,,,,,,,,"50,409,270","2,609,771","0",,,,,,,,,,,,,
		AssetImpairmentCharge,"161,893,945","161,893,945","441,933,388","52,880,710","46,387,840","49,318,954","16,927,813","-51,439,339","326,170,159","0","0","66,792,032","6,723,620","523,968","234,064,773","101,283,912","108,072,118","19,331,796",,,,,,
		ProvisionandWriteOffofAssets,"0","0","20,835,972","618,950","2,347,947","169,416","21,152,639","47,948","0","9,151,488","-14,295,672","30,965,501","26,834",,"7,004,762",,,,,,,,,
		StockBasedCompensation,"70,759,800","70,759,800","202,345,626","150,166,481","55,056,426","21,750,533","3,898,328","38,029,713","28,051,735","34,007,629","3,672,300","29,237,416","37,378,374","53,271,520","30,179,917","71,236,297","52,049,596","46,728,166",,,,,,
		OtherNonCashItems,"43,204,267","43,204,267","-3,569,820","-490,875","-24,536,978","68,654,925","102,481,005","90,445,518","50,409,270","2,609,771","13,034,797","126,617,072","41,191,257","2,395,000","12,614,830","162,613,263","120,185,393","51,039,667","39,764,575.458","7,859,665.279",,,,"8.278"
		ChangeInWorkingCapital,"-26,179,206","-26,179,206","123,202,860","-462,778,829","-54,470,326","8,336,411","-23,662,650","-29,880,593","-15,292,554","74,524,593","1,392,325","33,498,085","-13,019,474","-4,519,860","-51,798,681","-200,376,670","-19,135,553","70,045,597","103,290,277.728","-25,499,786.443","16,931,093.241","60,086,893.828","19,171,015.076","-741,624.909"
			ChangeInReceivables,"95,365","95,365","3,530,850","-13,628,485","3,955","313,044","1,904,732","5,742,365","-1,453,441","3,630,201","7,257,096","-3,894,295","-6,903,864","657,341","-9,967,459","6,075,024","-7,637,349","-12,029,785","419,029.853","6,094,701.297","-16,689,404.374","74,089.443","-52,921.765","-21,167.051"
				ChangesInAccountReceivables,"95,365","95,365","3,530,850","-13,628,485","3,955","313,044","1,904,732","5,742,365","-1,453,441","3,630,201","7,257,096","-3,894,295","-6,903,864","657,341","-9,792,038","6,547,740","-6,999,641","-12,029,785",,,,,,
			ChangeInPrepaidAssets,"970,975","970,975","72,788,947","-541,959,697","-23,968,844","-8,064,137","-24,312,107","26,768,962","-3,243,231","11,763,686","3,110,607","19,354,163","-11,736,081","5,515,192","-19,416,851","6,659,935","-110,832,986","-59,199,240","15,003,972.893","-40,273,645.563","-11,775,850.494","-2,274,016.083","-633,836.029","-819,554.754"
			ChangeInPayablesAndAccruedExpense,"-21,425,626","-21,425,626","51,368,476","97,294,631","-30,506,548","16,253,906","4,155,649","-52,046,316","-3,765,277","60,150,242","-15,024,746","5,914,881","509,117","-10,770,739","-8,524,840","-82,572,789","46,831,620","70,434,143","-4,769,816.523","8,491,933.358","2,286,838.938","46,903.998",,
				ChangeInPayable,"2,219,163","2,219,163","121,897,899","36,011,324","-4,095,329","2,899,758","511,203","-49,555,959","-6,531,263","60,150,242","-15,024,746","5,914,881","509,117","-10,770,739","-8,524,840","-82,572,789","46,831,620","70,434,143",,,,,,
