name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997
	DepreciationAmortizationDepletionIncomeStatement,"5,927,000","5,752,000","6,663,000","7,914,000","8,946,000","7,987,000","8,613,000","9,060,000","9,090,000","7,764,000","6,377,000","5,825,000","5,638,000","7,284,000","9,161,000","11,418,000","12,699,000","13,617,000","13,247,000","4,492,000","10,782,000","3,432,000","1,772,000","5,240,000","1,165,000","5,100,000","1,700,000","500,000"
		DepreciationAndAmortizationInIncomeStatement,"5,927,000","5,752,000","6,663,000","7,914,000","8,946,000","7,987,000","8,613,000","9,060,000","9,090,000","7,764,000","6,377,000","5,825,000","5,638,000","7,284,000","9,161,000","11,418,000","12,699,000","13,617,000","13,247,000","4,492,000","10,782,000","3,432,000","1,772,000","5,240,000","1,165,000","5,100,000","1,700,000","500,000"
			Amortization,,,,,,,,,,,,,,,,,,,,"4,492,000","3,575,000","3,432,000","1,772,000","5,240,000","1,165,000",,,
				AmortizationOfIntangiblesIncomeStatement,,,,,,,,,,,,,,,,,,,,"4,492,000","3,575,000","3,432,000","1,772,000","5,240,000","1,165,000",,,
	OtherOperatingExpenses,,,,,,,,,,,,,,"-2,519,000",,,,,"270,000",,,"885,000","1,470,000",,"3,001,000",,,
OperatingIncome,"238,131,000","209,881,000","152,700,000","134,333,000","114,061,000","115,924,000","133,887,000","188,566,000","194,307,000","161,446,000","127,124,000","101,287,000","80,073,000","58,844,000","41,927,000","25,024,000","35,835,000","43,058,000","32,258,000","36,586,000","31,609,000","31,417,000","36,778,000","23,650,000","23,290,000","500,000","9,300,000","8,400,000"
NetNonOperatingInterestIncomeExpense,,"5,304,000","596,000","68,000","98,000","715,000","1,067,000","1,174,000","1,161,000","1,331,000","1,268,000","1,167,000","1,062,000","1,072,000","636,000","368,000","1,823,000",,,,,,,,,,,
	InterestIncomeNonOperating,,"5,304,000","596,000","68,000","98,000","715,000","1,067,000","1,174,000","1,161,000","1,331,000","1,268,000","1,167,000","1,062,000","1,072,000","636,000","368,000","1,823,000",,,,,,,,,,,
OtherIncomeExpense,"-788,000","-1,514,000","4,825,000","-329,000","-383,000","-562,000","1,277,000","-4,907,000","639,000","64,000","-394,000","655,000","-97,000","3,311,000","-779,000","-5,006,000","-6,150,000","1,218,000","-1,578,000","-7,429,000","900,000","-522,000","-620,000","-44,000","-3,124,000","1,200,000","1,100,000","100,000"
	GainOnSaleOfSecurity,,,,,,"-562,000","1,277,000","-1,986,000","639,000","64,000","-394,000","655,000","-97,000","792,000","-779,000",,,,,,,,,,,,,
	SpecialIncomeCharges,,,,,,"0","0","-2,921,000","0","0",,"0","0","2,519,000","0","-5,006,000","-6,150,000","1,218,000","-1,578,000","-7,429,000","900,000","-522,000","-620,000","-44,000","-3,124,000","1,200,000","1,100,000","100,000"
		RestructuringAndMergernAcquisition,,,,,,"0","0","2,921,000","0","0",,,,"0","0","3,882,000","4,667,000",,"1,503,000","6,310,000",,"893,000",,,,,,
