name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012
		OtherNonCurrentAssets,"151,900,000","166,612,000","33,443,000","30,071,000","30,346,000","22,704,000","18,891,000","18,824,000","20,791,000","11,840,000","10,009,000","4,040,000"
TotalLiabilitiesNetMinorityInterest,"2,727,747,000","1,889,590,000","1,755,829,000","1,418,628,000","1,290,604,000","938,594,000","798,946,000","621,187,000","371,738,000","255,365,000","286,788,000","201,258,000"
	CurrentLiabilities,"1,909,606,000","1,293,531,000","1,109,829,000","768,243,000","597,074,000","606,504,000","529,905,000","459,553,000","235,011,000","144,373,000","209,344,000","46,364,000"
		PayablesAndAccruedExpenses,"708,136,000","408,006,000","429,279,000","277,592,000","232,354,000","217,011,000","186,027,000","170,408,000","104,937,000","75,898,000","60,460,000","23,157,000"
			Payables,"435,059,000","232,572,000","202,636,000","134,235,000","93,821,000","94,596,000","52,994,000","80,555,000","45,313,000","37,106,000","22,397,000","11,016,000"
				AccountsPayable,"435,059,000","232,572,000","202,636,000","134,235,000","92,105,000","93,757,000","52,200,000","79,457,000","43,966,000","32,428,000","20,111,000","11,016,000"
				TotalTaxPayable,,,,"1,870,000","1,716,000","839,000","794,000","1,098,000","1,347,000","4,678,000","2,286,000",
			CurrentAccruedExpenses,"273,077,000","175,434,000","226,643,000","143,357,000","138,533,000","122,415,000","133,033,000","89,853,000","59,624,000","38,792,000","38,063,000","12,141,000"
				InterestPayable,,,,,,,,,,"0","17,451,000","0"
		PensionandOtherPostRetirementBenefitPlansCurrent,"134,225,000","117,053,000",,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,,,,,,,,,"1,336,000","1,087,000","99,611,000",
			CurrentDebt,,,,,,,,,,,"98,793,000",
